humidity,temp,PM2_5,PM10,PM1_0,CO,NO2,SO2,AQI,datetime
53.8,27.9,14.6,18.6,13.7,-3.0462,-0.5048,0.1459,55.5555625451095,2021-12-25 23:57:01
53.8,27.9,14.6,18.6,13.7,-3.0462,-0.5048,0.1459,55.5555625451095,2021-12-25 23:57:11
53.8,27.8,14.6,18.6,13.6,-3.0346,-0.5048,0.1467,55.5555625451095,2021-12-25 23:57:21
53.8,27.8,14.2,18,13.2,-3.0462,-0.5048,0.1464,54.7008618248232,2021-12-25 23:57:31
53.8,27.8,14.2,18,13.2,-3.0462,-0.5048,0.1454,54.7008618248232,2021-12-25 23:57:41
56.5,28.9,15,18.4,14,-3.0462,-0.5048,0.1459,56.4102632653959,2021-12-25 23:57:51
53.8,27.8,14.2,18,12.8,-3.0694,-0.5048,0.1457,54.7008618248232,2021-12-25 23:58:01
53.8,27.8,14.2,18,13.2,-3.0578,-0.5048,0.1475,54.7008618248232,2021-12-25 23:58:11
53.8,27.8,14.2,18,13.2,-3.0694,-0.5048,0.1462,54.7008618248232,2021-12-25 23:58:21
53.8,27.8,14.2,18,13.2,-3.0694,-0.5048,0.1454,54.7008618248232,2021-12-25 23:58:31
53.8,27.8,14.6,18.6,13.2,-3.0694,-0.5048,0.1416,55.5555625451095,2021-12-25 23:58:41
53.8,27.9,14.6,18.6,13.2,-3.0694,-0.5048,0.1462,55.5555625451095,2021-12-25 23:58:51
53.8,27.8,14.6,18.6,13.6,-3.0694,-0.5048,0.1467,55.5555625451095,2021-12-25 23:59:01
53.8,27.8,14.6,18.6,13.6,-3.0578,-0.5048,0.1444,55.5555625451095,2021-12-25 23:59:11
53.8,27.8,14.6,18.6,13.6,-3.0578,-0.5048,0.1467,55.5555625451095,2021-12-25 23:59:21
56.5,28.9,15.7,19.3,14.5,-3.0578,-0.5048,0.1444,57.905989525897,2021-12-25 23:59:31
53.8,27.9,14.9,18.9,13.7,-3.0694,-0.5048,0.1426,56.1965880853243,2021-12-25 23:59:41
53.8,27.8,14.6,18.6,13.2,-3.0694,-0.5048,0.1416,55.5555625451095,2021-12-25 23:59:51
53.8,27.8,14.9,18.9,13.6,-3.0694,-0.5048,0.1442,56.1965880853243,2021-12-26 00:00:01
53.8,27.9,14.9,18.9,13.7,-3.081,-0.5048,0.1434,56.1965880853243,2021-12-26 00:00:11
53.8,27.8,14.9,18.9,13.6,-3.081,-0.5048,0.1442,56.1965880853243,2021-12-26 00:00:21
53.8,27.9,14.6,18.6,13.7,-3.0926,-0.5048,0.1449,55.5555625451095,2021-12-26 00:00:31
53.8,27.8,14.2,18,13.2,-3.081,-0.5059,0.1434,54.7008618248232,2021-12-26 00:00:41
53.8,27.8,14.2,18,13.2,-3.081,-0.5048,0.1449,54.7008618248232,2021-12-26 00:00:51
56.5,28.9,15,18.4,14,-3.0694,-0.5048,0.1431,56.4102632653959,2021-12-26 00:01:01
53.8,27.8,14.6,18.6,13.2,-3.0694,-0.5048,0.1434,55.5555625451095,2021-12-26 00:01:11
53.8,27.9,14.6,18.6,13.2,-3.081,-0.5048,0.1444,55.5555625451095,2021-12-26 00:01:21
53.8,27.8,14.6,18.6,13.6,-3.081,-0.5048,0.1426,55.5555625451095,2021-12-26 00:01:31
53.8,27.8,14.6,18.6,13.6,-3.081,-0.5048,0.1437,55.5555625451095,2021-12-26 00:01:41
53.8,27.8,14.9,18.9,13.6,-3.081,-0.5048,0.1431,56.1965880853243,2021-12-26 00:01:51
53.8,27.9,14.6,18.6,13.2,-3.0926,-0.5048,0.1421,55.5555625451095,2021-12-26 00:02:01
53.8,27.9,14.6,18.6,12.8,-3.0926,-0.5048,0.1439,55.5555625451095,2021-12-26 00:02:11
53.8,27.8,14.6,18.6,13.2,-3.0926,-0.5048,0.1429,55.5555625451095,2021-12-26 00:02:21
53.8,27.8,14.6,18.6,13.2,-3.0926,-0.5059,0.1442,55.5555625451095,2021-12-26 00:02:31
56.5,28.9,15.4,19,14.5,-3.0926,-0.5059,0.1434,57.2649639856822,2021-12-26 00:02:41
53.8,27.8,14.6,18.6,13.6,-3.0926,-0.5048,0.1452,55.5555625451095,2021-12-26 00:02:51
53.8,27.8,14.6,18.6,13.2,-3.0926,-0.5048,0.1421,55.5555625451095,2021-12-26 00:03:01
53.8,27.8,14.6,18.6,13.6,-3.081,-0.5048,0.1419,55.5555625451095,2021-12-26 00:03:11
53.8,27.8,14.2,18,13.2,-3.081,-0.5048,0.1442,54.7008618248232,2021-12-26 00:03:21
53.8,27.8,14.2,18,12.8,-3.0926,-0.5048,0.1416,54.7008618248232,2021-12-26 00:03:31
53.8,27.8,14.2,18,12.8,-3.0926,-0.5048,0.1411,54.7008618248232,2021-12-26 00:03:41
53.8,27.8,14.2,18,12.8,-3.0926,-0.5048,0.1431,54.7008618248232,2021-12-26 00:03:51
53.8,27.9,14.2,18,13.2,-3.1042,-0.5048,0.1426,54.7008618248232,2021-12-26 00:04:01
53.8,27.9,14.2,18,13.2,-3.1042,-0.5048,0.1434,54.7008618248232,2021-12-26 00:04:11
56.5,29,15.1,18.4,14.1,-3.1158,-0.5048,0.1431,56.6239384454675,2021-12-26 00:04:21
53.8,27.8,13.9,17.7,12.8,-3.1158,-0.5048,0.1409,54.0598362846084,2021-12-26 00:04:31
53.8,27.8,14.2,18,13.2,-3.1158,-0.5048,0.1416,54.7008618248232,2021-12-26 00:04:41
53.8,27.8,13.9,17.7,12.8,-3.1042,-0.5059,0.1421,54.0598362846084,2021-12-26 00:04:51
53.8,27.8,14.2,18,12.8,-3.1042,-0.5048,0.1421,54.7008618248232,2021-12-26 00:05:01
53.8,27.8,14.2,18,12.8,-3.0926,-0.5048,0.1416,54.7008618248232,2021-12-26 00:05:11
53.8,27.8,14.2,18,13.2,-3.1042,-0.5048,0.1393,54.7008618248232,2021-12-26 00:05:21
53.8,27.9,14.2,18,13.2,-3.1042,-0.5048,0.1421,54.7008618248232,2021-12-26 00:05:31
53.8,27.9,14.2,18,13.2,-3.1042,-0.5048,0.1409,54.7008618248232,2021-12-26 00:05:41
56.5,29,15.1,18.4,14.1,-3.1158,-0.5048,0.1406,56.6239384454675,2021-12-26 00:05:51
53.8,27.8,14.2,18,13.2,-3.1158,-0.5048,0.1414,54.7008618248232,2021-12-26 00:06:01
53.7,27.8,14.2,18,12.8,-3.1274,-0.5048,0.1416,54.7008618248232,2021-12-26 00:06:11
53.8,27.8,14.2,18,12.8,-3.1274,-0.5059,0.1416,54.7008618248232,2021-12-26 00:06:21
53.8,27.8,14.6,18.6,13.2,-3.1274,-0.5048,0.1416,55.5555625451095,2021-12-26 00:06:31
53.8,27.8,14.2,18,12.8,-3.1274,-0.5048,0.1406,54.7008618248232,2021-12-26 00:06:41
53.7,27.8,14.5,18.6,13.6,-3.1274,-0.5048,0.1381,55.3418873650379,2021-12-26 00:06:51
53.7,27.8,14.5,18.6,13.2,-3.1158,-0.5048,0.1391,55.3418873650379,2021-12-26 00:07:01
53.8,27.8,14.6,18.6,13.2,-3.1158,-0.5048,0.1414,55.5555625451095,2021-12-26 00:07:11
53.7,27.8,14.5,18.6,13.2,-3.1158,-0.5048,0.1393,55.3418873650379,2021-12-26 00:07:21
56.5,28.9,15.4,19,14.5,-3.1158,-0.5048,0.1381,57.2649639856822,2021-12-26 00:07:31
53.8,27.9,14.6,18.6,13.2,-3.1158,-0.5048,0.1406,55.5555625451095,2021-12-26 00:07:41
53.7,27.8,14.5,18.6,12.8,-3.1274,-0.5048,0.1376,55.3418873650379,2021-12-26 00:07:51
53.8,27.8,14.6,18.6,13.6,-3.1274,-0.5048,0.1416,55.5555625451095,2021-12-26 00:08:01
53.7,27.8,14.5,18.6,13.6,-3.1274,-0.5048,0.1373,55.3418873650379,2021-12-26 00:08:11
53.7,27.8,14.2,18,13.2,-3.139,-0.5048,0.1409,54.7008618248232,2021-12-26 00:08:21
53.7,27.8,14.2,18,13.2,-3.139,-0.5048,0.1411,54.7008618248232,2021-12-26 00:08:31
53.8,27.8,14.2,18,12.8,-3.139,-0.5048,0.1388,54.7008618248232,2021-12-26 00:08:41
53.7,27.8,14.2,18,13.2,-3.139,-0.5048,0.1414,54.7008618248232,2021-12-26 00:08:51
53.8,27.8,14.2,18,13.2,-3.139,-0.5048,0.1373,54.7008618248232,2021-12-26 00:09:01
56.5,28.9,15,18.4,14,-3.139,-0.5048,0.1378,56.4102632653959,2021-12-26 00:09:11
53.7,27.8,14.2,18,12.8,-3.1274,-0.5048,0.1366,54.7008618248232,2021-12-26 00:09:21
53.8,27.8,14.6,18.6,13.2,-3.139,-0.5048,0.1376,55.5555625451095,2021-12-26 00:09:31
53.7,27.8,14.5,18.6,13.2,-3.139,-0.5048,0.1388,55.3418873650379,2021-12-26 00:09:41
53.7,27.8,14.5,18.6,13.2,-3.139,-0.5048,0.1368,55.3418873650379,2021-12-26 00:09:51
53.8,27.8,14.6,18.6,13.2,-3.1506,-0.5048,0.1396,55.5555625451095,2021-12-26 00:10:01
53.7,27.8,14.5,18.6,13.2,-3.1506,-0.5048,0.1376,55.3418873650379,2021-12-26 00:10:11
53.7,27.8,14.5,18.6,13.6,-3.1622,-0.5048,0.1386,55.3418873650379,2021-12-26 00:10:21
53.8,27.9,14.2,18,13.2,-3.1622,-0.5059,0.1366,54.7008618248232,2021-12-26 00:10:31
53.8,27.8,14.6,18.6,13.2,-3.1622,-0.5048,0.1378,55.5555625451095,2021-12-26 00:10:41
56.5,28.9,15.4,19,14,-3.1506,-0.5048,0.136,57.2649639856822,2021-12-26 00:10:51
53.8,27.9,14.6,18.6,13.2,-3.1622,-0.5048,0.1383,55.5555625451095,2021-12-26 00:11:01
53.8,27.9,14.6,18.6,13.7,-3.1506,-0.5048,0.1373,55.5555625451095,2021-12-26 00:11:11
53.7,27.8,14.2,18,13.2,-3.139,-0.5048,0.1371,54.7008618248232,2021-12-26 00:11:21
53.8,27.9,14.2,18,13.2,-3.139,-0.5048,0.1373,54.7008618248232,2021-12-26 00:11:31
53.7,27.8,14.2,18,13.2,-3.1506,-0.5048,0.1348,54.7008618248232,2021-12-26 00:11:41
53.7,27.8,14.2,18,12.8,-3.1506,-0.5048,0.1343,54.7008618248232,2021-12-26 00:11:51
53.7,27.8,14.2,18,13.2,-3.1622,-0.5048,0.1355,54.7008618248232,2021-12-26 00:12:01
53.7,27.8,14.2,18,13.2,-3.1622,-0.5048,0.1368,54.7008618248232,2021-12-26 00:12:11
56.5,28.9,15,18.4,13.6,-3.1738,-0.5048,0.1383,56.4102632653959,2021-12-26 00:12:21
53.7,27.8,14.5,18.6,13.2,-3.1622,-0.5048,0.1366,55.3418873650379,2021-12-26 00:12:31
53.8,27.9,14.2,18,13.2,-3.1738,-0.5059,0.1345,54.7008618248232,2021-12-26 00:12:41
53.8,27.9,14.6,18.6,13.2,-3.1738,-0.5059,0.1363,55.5555625451095,2021-12-26 00:12:51
53.7,27.8,14.2,18,13.2,-3.1738,-0.5048,0.1358,54.7008618248232,2021-12-26 00:13:01
53.7,27.8,14.2,18,13.2,-3.1622,-0.5048,0.1371,54.7008618248232,2021-12-26 00:13:11
53.7,27.8,14.2,18,13.2,-3.1622,-0.5048,0.1358,54.7008618248232,2021-12-26 00:13:21
53.7,27.8,14.2,18.3,13.2,-3.1622,-0.5048,0.1348,54.7008618248232,2021-12-26 00:13:31
53.7,27.8,14.5,18.6,13.6,-3.1622,-0.5048,0.136,55.3418873650379,2021-12-26 00:13:41
53.7,27.8,14.2,18,13.2,-3.1622,-0.5048,0.1355,54.7008618248232,2021-12-26 00:13:51
56.5,28.9,15.4,19,14,-3.1738,-0.5048,0.1353,57.2649639856822,2021-12-26 00:14:01
53.7,27.8,14.5,18.6,13.2,-3.1738,-0.5048,0.136,55.3418873650379,2021-12-26 00:14:11
53.7,27.8,14.5,18.6,13.6,-3.1854,-0.5048,0.1343,55.3418873650379,2021-12-26 00:14:21
53.7,27.8,14.2,18,13.2,-3.1854,-0.5048,0.1353,54.7008618248232,2021-12-26 00:14:31
53.7,27.8,14.2,18,13.2,-3.1854,-0.5048,0.1363,54.7008618248232,2021-12-26 00:14:41
53.7,27.8,14.2,18,13.2,-3.1738,-0.5059,0.1368,54.7008618248232,2021-12-26 00:14:51
53.7,27.8,14.5,18.6,13.6,-3.1738,-0.5048,0.1353,55.3418873650379,2021-12-26 00:15:01
53.8,27.9,14.6,18.6,13.2,-3.1738,-0.5048,0.1366,55.5555625451095,2021-12-26 00:15:11
53.7,27.8,14.5,18.6,13.6,-3.1738,-0.5048,0.1355,55.3418873650379,2021-12-26 00:15:21
53.7,27.8,14.5,18.6,13.6,-3.1738,-0.5048,0.133,55.3418873650379,2021-12-26 00:15:31
56.5,28.9,15.4,19,14.5,-3.1738,-0.5048,0.1345,57.2649639856822,2021-12-26 00:15:41
53.7,27.8,14.5,18.6,13.6,-3.1738,-0.5048,0.1358,55.3418873650379,2021-12-26 00:15:51
53.7,27.8,14.5,18.6,13.6,-3.1854,-0.5048,0.1373,55.3418873650379,2021-12-26 00:16:01
53.7,27.8,14.5,18.6,13.2,-3.197,-0.5048,0.1348,55.3418873650379,2021-12-26 00:16:11
53.7,27.8,14.5,18.6,13.6,-3.197,-0.5059,0.136,55.3418873650379,2021-12-26 00:16:21
53.7,27.8,14.5,18.6,13.2,-3.197,-0.5048,0.135,55.3418873650379,2021-12-26 00:16:31
53.7,27.8,14.5,18.6,13.2,-3.197,-0.5059,0.1343,55.3418873650379,2021-12-26 00:16:41
53.7,27.8,14.9,18.9,13.6,-3.197,-0.5048,0.1317,56.1965880853243,2021-12-26 00:16:51
53.7,27.8,14.9,18.9,14,-3.1854,-0.5048,0.1348,56.1965880853243,2021-12-26 00:17:01
53.7,27.8,14.9,18.9,13.6,-3.1854,-0.5048,0.1317,56.1965880853243,2021-12-26 00:17:11
56.5,28.9,15.4,19,14.5,-3.1854,-0.5048,0.1317,57.2649639856822,2021-12-26 00:17:21
53.7,27.8,14.5,18.6,13.6,-3.1854,-0.5048,0.1343,55.3418873650379,2021-12-26 00:17:31
53.8,27.9,14.6,18.6,13.7,-3.1854,-0.5048,0.1338,55.5555625451095,2021-12-26 00:17:41
53.7,27.8,14.2,18,12.8,-3.2087,-0.5048,0.1307,54.7008618248232,2021-12-26 00:17:51
53.7,27.8,14.5,18.6,13.6,-3.2087,-0.5048,0.1325,55.3418873650379,2021-12-26 00:18:01
53.7,27.8,14.2,18,12.8,-3.2087,-0.5048,0.1312,54.7008618248232,2021-12-26 00:18:11
53.7,27.8,14.5,18.6,13.2,-3.2087,-0.5059,0.1338,55.3418873650379,2021-12-26 00:18:21
53.7,27.8,14.2,18,13.2,-3.2087,-0.5048,0.1327,54.7008618248232,2021-12-26 00:18:31
53.8,27.9,14.6,18.6,13.2,-3.2087,-0.5048,0.1312,55.5555625451095,2021-12-26 00:18:41
53.7,27.8,14.5,18.6,13.6,-3.2087,-0.5048,0.1343,55.3418873650379,2021-12-26 00:18:51
56.5,28.9,15.4,19,14.5,-3.2087,-0.5048,0.131,57.2649639856822,2021-12-26 00:19:01
53.7,27.8,14.5,18.6,13.6,-3.197,-0.5048,0.133,55.3418873650379,2021-12-26 00:19:11
53.7,27.8,14.5,18.6,13.6,-3.197,-0.5048,0.1305,55.3418873650379,2021-12-26 00:19:21
53.7,27.8,14.5,18.6,13.6,-3.2087,-0.5048,0.1325,55.3418873650379,2021-12-26 00:19:31
53.7,27.8,14.5,18.6,13.2,-3.2087,-0.5037,0.1305,55.3418873650379,2021-12-26 00:19:41
