humidity,temp,PM2_5,PM10,PM1_0,CO,NO2,SO2,AQI,datetime
62.2,24.3,30.5,33.3,29.2,-215.5179,-0.4825,0.0006,89.5299161764922,2021-12-26 05:44:08
62.2,24.3,30.5,33.3,28.4,-215.5295,-0.4825,-0.0137,89.5299161764922,2021-12-26 05:44:18
62.2,24.3,30.2,32.7,28.4,-215.5295,-0.4825,-0.0116,88.8888906362774,2021-12-26 05:44:28
63,24.3,38,40.5,35.2,-215.9473,-0.4836,0.0064,106.500006525,2021-12-26 07:20:08
61.7,26.2,38.7,41.5,36.4,-215.9589,-0.4836,0.0049,108.2500062625,2021-12-26 07:20:18
63,24.3,37.7,40.2,36.1,-215.9705,-0.4825,0.017,105.7500066375,2021-12-26 07:20:28
62.9,24.4,39,41.8,36.1,-216.7597,-0.4836,0.0031,109.00000615,2021-12-26 07:29:08
62.9,24.4,39.4,42.1,36.9,-216.7713,-0.4825,0.0229,110.000006,2021-12-26 07:29:18
62.9,24.4,39.4,42.1,37.3,-216.7945,-0.4825,0.0168,110.000006,2021-12-26 07:29:28
62.8,24.6,38.7,41.5,36.5,-218.5934,-0.4825,0.0031,108.2500062625,2021-12-26 08:12:07
62.8,24.6,38.7,41.5,36.9,-218.5934,-0.4825,0.0132,108.2500062625,2021-12-26 08:12:17
62.8,24.6,39.1,41.8,36.5,-218.5934,-0.4825,-0.0022,109.2500061125,2021-12-26 08:12:27
63,24.6,40.9,43.4,38.3,-219.928,-0.4825,0.0277,113.7500054375,2021-12-26 08:36:07
63,24.6,41.2,44.1,38.3,-219.9396,-0.4825,0.0285,114.500005325,2021-12-26 08:36:17
63,24.6,41.6,44.4,39.1,-219.9512,-0.4836,0.0417,115.500005175,2021-12-26 08:36:27
62.4,24.7,38,40.7,35.7,-220.427,-0.4825,0.0107,106.500006525,2021-12-26 08:50:37
62.4,24.7,38,40.7,35.2,-220.427,-0.4825,0.0173,106.500006525,2021-12-26 08:50:47
62.4,24.7,38,40.7,35.7,-220.4386,-0.4825,0.012,106.500006525,2021-12-26 08:50:57
62.3,24.9,41.5,44.4,39.5,-222.3071,-0.4836,0.0313,115.2500052125,2021-12-26 10:31:07
62.3,24.8,41.5,44.4,39.4,-222.3071,-0.4825,0.0333,115.2500052125,2021-12-26 10:31:17
62.3,24.8,41.5,44.4,39.8,-222.2955,-0.4825,0.031,115.2500052125,2021-12-26 10:31:27
62.5,24.8,41.2,44.1,39.1,-221.9125,-0.4825,0.0277,114.500005325,2021-12-26 10:40:36
62.5,24.8,41.5,44.4,39.9,-221.9009,-0.4825,0.0153,115.2500052125,2021-12-26 10:40:46
62.5,24.8,41.9,44.7,40.3,-221.9009,-0.4825,0.0348,116.2500050625,2021-12-26 10:40:56
61.3,26.5,42.2,45.3,40.2,-221.6456,-0.4825,0.0328,117.00000495,2021-12-26 10:47:07
62.5,24.7,41.9,44.7,39,-221.6456,-0.4825,0.0432,116.2500050625,2021-12-26 10:47:17
62.5,24.7,41.5,44.4,39,-221.634,-0.4825,0.0343,115.2500052125,2021-12-26 10:47:27
62.5,24.7,42.6,45.3,40.3,-221.576,-0.4825,0.0315,118.0000048,2021-12-26 10:49:37
62.5,24.7,42.2,45,39.9,-221.5643,-0.4836,0.0285,117.00000495,2021-12-26 10:49:47
62.5,24.7,41.9,44.7,39,-221.5527,-0.4825,0.0269,116.2500050625,2021-12-26 10:49:57
61.6,26.2,41.5,44.6,39.3,-219.3593,-0.4813,0.0115,115.2500052125,2021-12-26 11:11:37
62.9,24.4,40.8,43.3,39,-219.3129,-0.4825,0.0181,113.500005475,2021-12-26 11:11:47
62.9,24.4,40.8,43.3,39.4,-219.2781,-0.4825,0.0155,113.500005475,2021-12-26 11:11:57
63.1,24.3,41.2,43.9,39,-217.398,-0.4825,0.0203,114.500005325,2021-12-26 11:30:37
63.1,24.3,40.8,43.3,38.2,-217.398,-0.4825,0.0381,113.500005475,2021-12-26 11:30:46
63.1,24.3,40.8,43.3,38.6,-217.398,-0.4825,0.0366,113.500005475,2021-12-26 11:30:56
62.5,24.3,40.7,43.3,38.1,-216.8642,-0.4825,0.0046,113.2500055125,2021-12-26 12:38:07
62.5,24.3,40.7,43.3,38.5,-216.8874,-0.4825,0.0084,113.2500055125,2021-12-26 12:38:17
62.5,24.3,41,43.9,38.5,-216.899,-0.4825,0.0198,114.0000054,2021-12-26 12:38:26
61.1,24.3,37.3,40.2,35.3,-218.2684,-0.4825,0.0173,104.7500067875,2021-12-26 14:40:09
60.6,26.2,37.8,40.8,35.3,-218.28,-0.4825,0.0079,106.0000066,2021-12-26 14:40:16
61.1,24.3,37.3,40.2,34.9,-218.2452,-0.4825,0.0105,104.7500067875,2021-12-26 14:40:26
61.5,23.9,36.9,39.7,35.3,-214.7288,-0.4825,-0.0081,103.7500069375,2021-12-26 15:00:36
61.5,23.9,37.3,40,35.7,-214.7288,-0.4813,0.014,104.7500067875,2021-12-26 15:00:46
61.5,23.9,37.3,40,34.8,-214.7056,-0.4825,-0.005,104.7500067875,2021-12-26 15:00:56
61.9,23.9,39,41.9,37,-211.2123,-0.4825,0.0023,109.00000615,2021-12-26 16:23:06
61.9,23.9,39,41.9,36.6,-211.2123,-0.4825,0.0064,109.00000615,2021-12-26 16:23:16
61.9,23.9,39,41.9,36.6,-211.2239,-0.4825,0.0028,109.00000615,2021-12-26 16:23:26
61.2,23.7,36.1,39,33.5,-210.1794,-0.4825,-0.001,101.7500072375,2021-12-26 17:20:06
60.6,25.7,36.3,39.4,33.9,-210.1678,-0.4825,0.0102,102.2500071625,2021-12-26 17:20:16
61.2,23.7,35.4,38.4,33.5,-210.1446,-0.4825,0.0036,100,2021-12-26 17:20:26
63,22.8,36.5,39.1,33.9,-201.2665,-0.4825,0.0112,102.7500070875,2021-12-26 18:21:05
63,22.8,36.1,38.7,34.4,-201.2433,-0.4813,0.0198,101.7500072375,2021-12-26 18:21:15
63,22.8,36.1,38.7,33.9,-201.2317,-0.4825,0.0105,101.7500072375,2021-12-26 18:21:25
63,22.8,35.8,38.4,33.5,-201.1156,-0.4825,-0.0015,101.00000735,2021-12-26 18:22:05
61.7,25,35.9,38.9,33.5,-201.1156,-0.4825,0.0132,101.2500073125,2021-12-26 18:22:15
63,22.8,35.8,38.4,33.9,-201.104,-0.4825,0.0198,101.00000735,2021-12-26 18:22:25
62.6,22.1,31.3,33.8,29.9,-192.6901,-0.4825,0.2086,91.2393176170648,2021-12-26 19:22:05
62.6,22.1,31.6,34.1,30.7,-192.6901,-0.4825,0.2157,91.8803431572796,2021-12-26 19:22:15
62.6,22.1,31.3,33.8,30.3,-192.6901,-0.4825,0.2152,91.2393176170648,2021-12-26 19:22:25
63.5,21.2,23.5,25.7,22.2,-184.7404,-0.4825,0.1865,74.5726535714809,2021-12-26 20:38:05
63.6,21.2,23.2,25.4,21.8,-184.752,-0.4825,0.2035,73.9316280312662,2021-12-26 20:38:15
63.6,21.2,23.2,25.4,22.3,-184.752,-0.4825,0.2174,73.9316280312662,2021-12-26 20:38:25
62,23.7,23.7,26.3,22.7,-184.7288,-0.4825,-0.0055,75.0000039316241,2021-12-26 20:38:35
63.6,21.2,22.8,25.1,21.4,-184.7288,-0.4825,0.2022,73.0769273109798,2021-12-26 20:38:45
