humidity,temp,PM2_5,PM10,PM1_0,CO,NO2,SO2,datetime
54.7,22,13.2,16.9,12.1,-2.1526,-0.459,0.1431,2022-02-01 18:14:42
54.6,22,12.8,16.6,12,-2.141,-0.4579,0.1525,2022-02-01 18:14:52
54.6,22,12.8,16.6,11.6,-2.257,-0.4579,0.1525,2022-02-01 18:15:02
54.6,22.1,12.8,16.6,11.6,-2.2338,-0.4579,0.1558,2022-02-01 18:15:12
54.6,22,13.2,16.9,12,-2.2338,-0.4579,0.1832,2022-02-01 18:15:22
57,24.4,14.3,17.7,13.6,-2.199,-0.4579,-0.0027,2022-02-01 18:15:32
54.6,22,13.2,16.9,12,-2.3382,-0.4579,0.1606,2022-02-01 18:15:42
54.6,22,13.2,16.9,12,-2.3034,-0.459,0.1563,2022-02-01 18:15:52
54.6,22.1,13.2,16.9,12.1,-2.3034,-0.4579,0.1659,2022-02-01 18:16:02
54.7,22.1,13.2,16.9,12.5,-2.3034,-0.4579,0.1814,2022-02-01 18:16:12
54.6,22.1,13.2,16.9,12.5,-2.2454,-0.459,0.173,2022-02-01 18:16:22
54.7,22.1,13.2,16.9,12.1,-2.1177,-0.459,0.1464,2022-02-01 18:16:32
54.6,22,13.2,16.9,12,-2.1293,-0.4579,0.1644,2022-02-01 18:16:42
54.6,22,13.2,16.9,12,-2.1177,-0.4579,0.1822,2022-02-01 18:16:52
57,24.4,14.3,17.7,13.6,-2.141,-0.4579,0.0039,2022-02-01 18:17:02
54.6,22,12.8,16.6,12,-2.1642,-0.4579,0.1855,2022-02-01 18:17:12
54.7,22.1,12.9,16.6,11.7,-2.1293,-0.4579,0.1446,2022-02-01 18:17:22
54.7,22.1,12.9,16.6,12.1,-2.1293,-0.4579,0.1675,2022-02-01 18:17:32
54.6,22,12.8,16.6,12,-2.199,-0.4579,0.1609,2022-02-01 18:17:42
54.7,22.1,12.9,16.6,12.1,-2.1526,-0.4579,0.1545,2022-02-01 18:17:52
54.7,22.1,12.9,16.6,11.7,-2.1526,-0.459,0.1205,2022-02-01 18:18:02
54.7,22.1,12.9,16.6,11.7,-2.2106,-0.4579,0.1522,2022-02-01 18:18:12
54.6,22,13.2,16.9,12,-2.1874,-0.4579,0.1525,2022-02-01 18:18:22
54.7,22.1,12.9,16.6,11.7,-2.1061,-0.4579,0.1664,2022-02-01 18:18:32
57,24.4,14,17.4,12.8,-2.1758,-0.459,-0.0175,2022-02-01 18:18:42
54.7,22.1,12.9,16.6,12.1,-2.1642,-0.4579,0.1553,2022-02-01 18:18:52
54.7,22,12.8,16.6,12.1,-2.1758,-0.4579,0.155,2022-02-01 18:19:01
54.7,22,12.8,16.6,11.6,-2.1526,-0.4579,0.1614,2022-02-01 18:19:11
54.7,22,12.8,16.6,12.1,-2.257,-0.459,0.1429,2022-02-01 18:19:21
54.7,22,12.8,16.6,11.6,-2.2454,-0.4579,0.1502,2022-02-01 18:19:31
54.7,22,13.2,16.9,12.1,-2.1874,-0.4579,0.1631,2022-02-01 18:19:41
