humidity,temp,PM2_5,PM10,PM1_0,CO,NO2,SO2,datetime
54.7,22,13.2,16.9,12.1,-2.199,-0.4579,0.1586,2022-02-01 18:19:51
54.7,22,13.2,16.9,12.1,-2.2686,-0.4579,0.1786,2022-02-01 18:20:01
57,24.4,14.3,17.7,13.2,-2.2338,-0.4579,0.0112,2022-02-01 18:20:11
54.7,22,13.2,16.9,12.1,-2.2918,-0.459,0.1406,2022-02-01 18:20:21
54.7,22,13.2,16.9,12.1,-2.2338,-0.4579,0.1837,2022-02-01 18:20:31
54.7,22,13.2,16.9,12.5,-2.257,-0.4579,0.1692,2022-02-01 18:20:41
54.7,22,12.8,16.6,12.1,-2.2338,-0.459,0.1586,2022-02-01 18:20:51
54.7,22,12.8,16.6,12.1,-2.257,-0.4579,0.1736,2022-02-01 18:21:01
54.7,22,12.8,16.6,12.1,-2.2338,-0.459,0.1545,2022-02-01 18:21:11
54.7,22.1,12.9,16.6,11.7,-2.1526,-0.459,0.169,2022-02-01 18:21:21
54.7,22.1,12.9,16.6,11.7,-2.199,-0.4579,0.1609,2022-02-01 18:21:31
57,24.4,14,17.4,12.8,-2.2802,-0.4579,-0.0121,2022-02-01 18:21:41
54.7,22,12.8,16.6,11.6,-2.1526,-0.4579,0.1779,2022-02-01 18:21:51
54.7,22,12.8,16.6,12.1,-2.257,-0.4579,0.1657,2022-02-01 18:22:01
54.8,22,12.9,16.6,12.1,-2.2106,-0.4579,0.1664,2022-02-01 18:22:11
54.8,22,12.9,16.6,11.7,-2.2106,-0.4579,0.1664,2022-02-01 18:22:21
54.8,22,12.9,16.6,11.7,-2.1642,-0.4579,0.1609,2022-02-01 18:22:31
54.8,22,13.2,16.9,12.1,-2.2338,-0.4579,0.1786,2022-02-01 18:22:41
54.8,22.1,13.2,16.9,12.5,-2.199,-0.4579,0.1593,2022-02-01 18:22:51
54.8,22.1,12.9,16.6,12.1,-2.141,-0.459,0.189,2022-02-01 18:23:01
57.1,24.4,14,17.4,13.2,-2.1526,-0.459,-0.0104,2022-02-01 18:23:11
54.8,22,12.5,16,11.7,-2.1642,-0.459,0.1878,2022-02-01 18:23:21
54.8,22,12.5,16,11.7,-2.2106,-0.459,0.1789,2022-02-01 18:23:31
54.8,22.1,12.9,16.6,11.3,-2.199,-0.4579,0.1482,2022-02-01 18:23:41
54.8,22,12.9,16.6,11.7,-2.199,-0.459,0.1317,2022-02-01 18:23:51
54.8,22,12.9,16.6,12.1,-2.1642,-0.4579,0.1492,2022-02-01 18:24:01
54.8,22,12.9,16.6,11.7,-2.2106,-0.4579,0.1718,2022-02-01 18:24:11
54.8,22,12.5,16,11.7,-2.1642,-0.4568,0.1609,2022-02-01 18:24:21
54.8,22.1,12.5,16,11.7,-2.199,-0.4579,0.1517,2022-02-01 18:24:31
57.1,24.4,13.7,16.8,12.4,-2.2222,-0.4579,0.0013,2022-02-01 18:24:41
54.8,22,12.5,16,11.2,-2.2106,-0.4579,0.1286,2022-02-01 18:24:51
54.8,22,12.5,16,11.2,-2.199,-0.4579,0.1456,2022-02-01 18:25:01
54.8,22.1,12.5,16,11.7,-2.2222,-0.459,0.167,2022-02-01 18:25:11
54.8,22,12.9,16.6,11.7,-2.199,-0.4579,0.1697,2022-02-01 18:25:21
54.8,22.1,12.9,16.6,11.7,-2.2454,-0.459,0.1774,2022-02-01 18:25:31
54.8,22.1,13.2,16.9,12.1,-2.2222,-0.459,0.1827,2022-02-01 18:25:41
54.8,22,13.5,17.2,12.5,-2.141,-0.4579,0.1505,2022-02-01 18:25:51
54.8,22.1,13.6,17.2,12.5,-2.199,-0.4579,0.1535,2022-02-01 18:26:01
54.8,22.1,13.6,17.2,12.5,-2.199,-0.4579,0.1794,2022-02-01 18:26:11
57.1,24.4,14.7,18.1,13.6,-2.1177,-0.4579,0.0054,2022-02-01 18:26:21
54.8,22.1,13.2,16.9,12.5,-2.1642,-0.4579,0.1753,2022-02-01 18:26:31
54.8,22.1,13.2,16.9,12.1,-2.1874,-0.4579,0.1436,2022-02-01 18:26:41
54.8,22.1,13.6,17.2,12.5,-2.1874,-0.4579,0.1545,2022-02-01 18:26:51
54.8,22.1,13.6,17.2,12.5,-2.1642,-0.4579,0.1751,2022-02-01 18:27:01
54.8,22,13.5,17.2,12.5,-2.2338,-0.459,0.169,2022-02-01 18:27:11
54.8,22.1,13.6,17.2,12.5,-2.199,-0.4579,0.1365,2022-02-01 18:27:21
54.8,22.1,13.6,17.2,12.5,-2.2106,-0.4579,0.15,2022-02-01 18:27:31
54.8,22,13.5,17.2,12.5,-2.2222,-0.459,0.1487,2022-02-01 18:27:41
57.1,24.4,14.3,17.7,13.6,-2.257,-0.459,0.0003,2022-02-01 18:27:51
54.8,22.1,13.2,16.9,12.1,-2.2686,-0.459,0.172,2022-02-01 18:28:01
54.8,22,13.2,16.9,12.1,-2.2222,-0.4579,0.1677,2022-02-01 18:28:11
54.8,22.1,13.2,16.9,12.1,-2.315,-0.459,0.169,2022-02-01 18:28:21
54.8,22.1,13.2,16.9,12.5,-2.2454,-0.4579,0.1703,2022-02-01 18:28:31
54.7,22,13.2,16.9,12.5,-2.2454,-0.459,0.1494,2022-02-01 18:28:41
54.8,22,13.2,16.9,12.1,-2.2686,-0.4579,0.202,2022-02-01 18:28:51
54.8,22.1,12.9,16.6,12.1,-2.2222,-0.4579,0.1576,2022-02-01 18:29:01
54.8,22.1,13.2,16.9,12.1,-2.199,-0.4579,0.1548,2022-02-01 18:29:11
57.1,24.4,14.4,17.8,13.2,-2.2222,-0.4579,-0.005,2022-02-01 18:29:21
54.8,22,13.2,16.9,12.1,-2.2106,-0.4579,0.1421,2022-02-01 18:29:31
54.8,22.1,13.2,16.9,12.1,-2.2454,-0.4579,0.1885,2022-02-01 18:29:41
54.7,22,13.2,16.9,12.5,-2.257,-0.4579,0.1467,2022-02-01 18:29:51
54.8,22,13.2,16.9,12.5,-2.2918,-0.459,0.1487,2022-02-01 18:30:01
54.8,22,13.2,16.9,12.5,-2.1642,-0.459,0.1758,2022-02-01 18:30:11
54.8,22.1,13.2,16.9,12.1,-2.2686,-0.459,0.1456,2022-02-01 18:30:21
54.8,22,12.9,16.6,12.1,-2.1758,-0.4579,0.1637,2022-02-01 18:30:31
54.8,22,12.9,16.6,12.1,-2.199,-0.4579,0.1761,2022-02-01 18:30:41
57.1,24.4,14,17.4,12.8,-2.1874,-0.459,0.0074,2022-02-01 18:30:51
54.8,22.1,12.9,16.6,12.1,-2.1874,-0.4579,0.1525,2022-02-01 18:31:01
54.8,22.1,12.9,16.6,11.7,-2.1758,-0.4579,0.1507,2022-02-01 18:31:11
54.8,22.1,12.9,16.6,11.7,-2.2106,-0.4568,0.1515,2022-02-01 18:31:21
54.8,22.1,12.9,16.6,11.3,-2.1526,-0.4579,0.1631,2022-02-01 18:31:31
54.8,22.1,13.2,16.9,12.1,-2.1874,-0.4579,0.1385,2022-02-01 18:31:41
54.8,22,13.5,17.2,12.5,-2.1874,-0.4579,0.1695,2022-02-01 18:31:51
54.8,22,13.5,17.2,12.5,-2.1758,-0.4579,0.152,2022-02-01 18:32:01
54.8,22.1,13.2,16.9,12.1,-2.1642,-0.4579,0.1786,2022-02-01 18:32:11
54.8,22.1,13.6,17.2,12.5,-2.1874,-0.4579,0.1725,2022-02-01 18:32:21
57.1,24.4,14.7,18.1,13.6,-2.1758,-0.459,-0.0035,2022-02-01 18:32:31
54.8,22,13.2,16.9,12.1,-2.1526,-0.4579,0.1614,2022-02-01 18:32:41
54.8,22.1,13.2,16.9,12.5,-2.199,-0.459,0.1771,2022-02-01 18:32:51
54.8,22.1,13.2,16.9,12.1,-2.1061,-0.4579,0.1893,2022-02-01 18:33:01
54.8,22,13.2,16.9,12.5,-2.1642,-0.4579,0.184,2022-02-01 18:33:11
54.8,22.1,13.2,16.9,12.1,-2.0945,-0.4579,0.1723,2022-02-01 18:33:21
54.8,22.1,13.2,16.9,12.5,-2.1874,-0.4579,0.173,2022-02-01 18:33:31
54.8,22.1,13.2,16.9,12.5,-2.1642,-0.4579,0.17,2022-02-01 18:33:41
54.8,22,13.2,16.9,12.5,-2.0945,-0.4579,0.1796,2022-02-01 18:33:51
57.1,24.4,14.3,17.7,13.2,-2.1874,-0.4579,0.0056,2022-02-01 18:34:01
54.8,22.1,12.9,16.6,11.7,-2.141,-0.4579,0.168,2022-02-01 18:34:11
54.8,22,13.2,16.9,12.1,-2.141,-0.459,0.1606,2022-02-01 18:34:21
54.8,22.1,13.2,16.9,12.1,-2.199,-0.459,0.1829,2022-02-01 18:34:31
54.8,22,13.2,16.9,12.1,-2.1874,-0.4579,0.1533,2022-02-01 18:34:41
54.8,22,13.2,16.9,12.1,-2.1526,-0.4579,0.1345,2022-02-01 18:34:51
54.8,22.1,13.2,16.9,12.1,-2.2338,-0.459,0.1672,2022-02-01 18:35:01
54.8,22.1,13.6,17.2,12.5,-2.2686,-0.459,0.1566,2022-02-01 18:35:11
54.8,22,13.2,16.9,12.5,-2.2454,-0.4579,0.1464,2022-02-01 18:35:21
54.8,22.1,13.2,16.9,12.1,-2.2802,-0.4579,0.1675,2022-02-01 18:35:31
57.1,24.4,14.4,17.8,13.2,-2.315,-0.4579,-0.006,2022-02-01 18:35:41
54.8,22.1,13.2,16.9,12.5,-2.2802,-0.4579,0.1675,2022-02-01 18:35:51
54.8,22.1,13.2,16.9,12.5,-2.2106,-0.4579,0.1507,2022-02-01 18:36:01
54.8,22.1,13.2,16.9,12.5,-2.3615,-0.4579,0.1611,2022-02-01 18:36:11
54.8,22.1,13.2,16.9,12.1,-2.2686,-0.4579,0.173,2022-02-01 18:36:21
54.8,22.1,13.2,16.9,12.1,-2.3615,-0.4579,0.1662,2022-02-01 18:36:31
54.8,22.1,13.2,16.9,12.1,-2.2686,-0.4579,0.1619,2022-02-01 18:36:41
54.8,22.1,13.2,16.9,12.1,-2.2918,-0.4579,0.1677,2022-02-01 18:36:51
54.8,22,13.2,16.9,12.1,-2.315,-0.459,0.1644,2022-02-01 18:37:01
57.1,24.4,14.3,17.7,13.2,-2.315,-0.459,0.0016,2022-02-01 18:37:11
54.8,22,13.2,16.9,12.1,-2.2918,-0.4579,0.1647,2022-02-01 18:37:21
54.8,22.1,13.2,16.9,12.1,-2.3382,-0.459,0.1482,2022-02-01 18:37:31
54.8,22,12.9,16.6,12.1,-2.3034,-0.4579,0.173,2022-02-01 18:37:41
54.8,22,12.9,16.6,12.1,-2.2686,-0.4579,0.171,2022-02-01 18:37:51
54.8,22.1,12.9,16.6,11.7,-2.2918,-0.4579,0.1459,2022-02-01 18:38:01
54.8,22.1,12.9,16.6,12.1,-2.2918,-0.4579,0.1652,2022-02-01 18:38:11
54.8,22,12.9,16.6,11.7,-2.315,-0.4579,0.1888,2022-02-01 18:38:21
54.8,22,13.2,16.9,12.1,-2.3034,-0.4579,0.1703,2022-02-01 18:38:31
57.1,24.4,14.3,17.7,12.8,-2.315,-0.4579,0.0178,2022-02-01 18:38:41
54.8,22,13.2,16.9,12.1,-2.2802,-0.4579,0.1652,2022-02-01 18:38:51
54.8,22.1,13.2,16.9,12.1,-2.3266,-0.4579,0.1497,2022-02-01 18:39:01
54.8,22.1,13.2,16.9,12.1,-2.2338,-0.4579,0.1558,2022-02-01 18:39:11
54.8,22.1,13.2,16.9,12.5,-2.2918,-0.459,0.1598,2022-02-01 18:39:21
54.8,22,13.2,16.9,12.5,-2.2918,-0.4579,0.1796,2022-02-01 18:39:31
54.8,22.1,13.2,16.9,12.1,-2.2918,-0.459,0.1538,2022-02-01 18:39:41
54.8,22,13.2,16.9,12.1,-2.3382,-0.4579,0.1857,2022-02-01 18:39:51
54.8,22,13.2,16.9,12.1,-2.2454,-0.4579,0.1705,2022-02-01 18:40:01
54.8,22.1,13.2,16.9,12.1,-2.2918,-0.4579,0.1827,2022-02-01 18:40:11
57.1,24.4,14.4,17.8,13.2,-2.2222,-0.4579,-0.0038,2022-02-01 18:40:21
54.8,22.1,13.2,16.9,12.1,-2.2918,-0.4579,0.1723,2022-02-01 18:40:31
54.8,22.1,12.9,16.6,12.1,-2.2918,-0.4579,0.1715,2022-02-01 18:40:41
54.8,22,13.2,16.9,12.5,-2.2454,-0.459,0.151,2022-02-01 18:40:51
54.8,22,13.2,16.9,12.5,-2.3266,-0.4579,0.1527,2022-02-01 18:41:01
54.8,22.1,12.9,16.6,11.7,-2.3266,-0.4579,0.1677,2022-02-01 18:41:11
54.8,22,12.9,16.6,11.7,-2.2454,-0.4579,0.1403,2022-02-01 18:41:21
54.8,22.1,12.9,16.6,11.7,-2.315,-0.459,0.139,2022-02-01 18:41:31
54.8,22.1,12.9,16.6,12.1,-2.3499,-0.4579,0.1368,2022-02-01 18:41:41
57.1,24.4,14,17.4,12.8,-2.3382,-0.4579,-0.004,2022-02-01 18:41:51
54.7,22,12.8,16.6,12.1,-2.3499,-0.459,0.1515,2022-02-01 18:42:01
54.8,22,12.9,16.6,12.1,-2.3382,-0.4579,0.1771,2022-02-01 18:42:11
54.7,22,12.8,16.6,11.6,-2.3382,-0.4579,0.1682,2022-02-01 18:42:21
54.7,22,12.8,16.6,12.1,-2.3847,-0.4579,0.1814,2022-02-01 18:42:31
54.8,22.1,12.9,16.6,11.7,-2.3731,-0.4579,0.1596,2022-02-01 18:42:41
54.7,22.1,12.9,16.6,11.7,-2.3731,-0.4579,0.1718,2022-02-01 18:42:51
54.7,22,12.8,16.6,12.1,-2.4311,-0.4579,0.1555,2022-02-01 18:43:01
54.8,22.1,12.9,16.6,12.1,-2.4775,-0.4579,0.1774,2022-02-01 18:43:11
57.1,24.4,14,17.4,13.2,-2.4195,-0.4579,-0.0038,2022-02-01 18:43:21
54.8,22,13.2,16.9,12.5,-2.3731,-0.4579,0.1576,2022-02-01 18:43:31
54.8,22.1,12.9,16.6,12.1,-2.3963,-0.4579,0.1703,2022-02-01 18:43:41
54.7,22,12.8,16.6,11.6,-2.3382,-0.4579,0.173,2022-02-01 18:43:51
54.7,22.1,12.9,16.6,11.7,-2.3847,-0.4579,0.156,2022-02-01 18:44:01
54.7,22,12.8,16.6,12.1,-2.3382,-0.4579,0.1426,2022-02-01 18:44:11
54.7,22.1,12.9,16.6,11.7,-2.3847,-0.4579,0.1327,2022-02-01 18:44:21
54.7,22,12.8,16.6,11.6,-2.4079,-0.459,0.1439,2022-02-01 18:44:31
54.7,22.1,12.9,16.6,11.7,-2.3615,-0.4579,0.1553,2022-02-01 18:44:41
54.8,22,12.5,16,11.7,-2.3499,-0.4579,0.1439,2022-02-01 18:44:51
57.1,24.4,13.7,16.8,12.8,-2.3963,-0.4579,-0.0208,2022-02-01 18:45:01
54.8,22,12.5,16,11.7,-2.3499,-0.4579,0.1637,2022-02-01 18:45:11
54.7,22,12.5,16,11.2,-2.3266,-0.4579,0.1736,2022-02-01 18:45:21
54.7,22,12.8,16.6,11.6,-2.4079,-0.4579,0.1423,2022-02-01 18:45:31
54.8,22.1,12.9,16.6,12.1,-2.4079,-0.4568,0.1624,2022-02-01 18:45:41
54.7,22,12.8,16.6,12.1,-2.3615,-0.4579,0.1738,2022-02-01 18:45:51
54.7,22,12.8,16.6,12.1,-2.4311,-0.4579,0.1786,2022-02-01 18:46:01
54.7,22,12.8,16.6,11.6,-2.4195,-0.459,0.1434,2022-02-01 18:46:11
54.7,22,12.8,16.6,12.1,-2.5007,-0.4579,0.1347,2022-02-01 18:46:21
57,24.4,13.6,16.8,12.8,-2.4311,-0.459,-0.023,2022-02-01 18:46:31
54.7,22,12.5,16,11.6,-2.4079,-0.4579,0.1829,2022-02-01 18:46:41
54.7,22,12.8,16.6,11.6,-2.4543,-0.4579,0.1279,2022-02-01 18:46:51
54.7,22,12.8,16.6,11.6,-2.4659,-0.4579,0.1657,2022-02-01 18:47:01
54.7,22,12.8,16.6,12.1,-2.4195,-0.4579,0.151,2022-02-01 18:47:11
54.8,22,12.9,16.6,12.1,-2.3963,-0.4579,0.1692,2022-02-01 18:47:21
54.8,22,12.9,16.6,12.1,-2.4311,-0.4579,0.1487,2022-02-01 18:47:31
54.8,22,12.9,16.6,12.1,-2.4659,-0.4579,0.1363,2022-02-01 18:47:41
54.8,22,12.9,16.6,11.7,-2.4079,-0.4579,0.1573,2022-02-01 18:47:51
57.1,24.4,14,17.4,13.2,-2.4195,-0.4579,0.0021,2022-02-01 18:48:01
54.8,22,12.9,16.6,11.7,-2.4195,-0.4579,0.1429,2022-02-01 18:48:11
54.8,22,12.9,16.6,11.7,-2.4195,-0.4579,0.1637,2022-02-01 18:48:21
54.8,22,12.9,16.6,11.7,-2.4543,-0.4579,0.1705,2022-02-01 18:48:31
54.8,22,12.9,16.6,11.7,-2.4427,-0.4579,0.1451,2022-02-01 18:48:41
54.8,22,12.9,16.6,11.7,-2.3731,-0.4579,0.1576,2022-02-01 18:48:51
54.8,22,12.9,16.6,11.7,-2.3731,-0.459,0.168,2022-02-01 18:49:01
54.8,22,13.2,16.9,12.1,-2.2686,-0.4579,0.155,2022-02-01 18:49:41
54.8,22,12.9,16.6,11.7,-2.315,-0.4579,0.1581,2022-02-01 18:49:51
54.8,22,13.2,16.9,12.1,-2.2686,-0.4579,0.168,2022-02-01 18:50:01
54.8,22,13.2,16.9,12.1,-2.3034,-0.4579,0.1936,2022-02-01 18:50:11
54.8,22,12.9,16.6,12.1,-2.2802,-0.4579,0.1779,2022-02-01 18:50:21
54.8,22,12.9,16.6,11.7,-2.2802,-0.4579,0.1611,2022-02-01 18:50:31
54.8,22,13.2,16.9,12.1,-2.2686,-0.4579,0.1598,2022-02-01 18:50:41
54.8,22,13.2,16.9,12.1,-2.2106,-0.459,0.1626,2022-02-01 18:50:51
57.1,24.4,14.4,17.7,13.2,-2.257,-0.459,-0.0109,2022-02-01 18:51:01
54.9,22,13.2,16.9,12.1,-2.3266,-0.459,0.1527,2022-02-01 18:51:11
54.9,22,13.2,16.9,12.5,-2.2338,-0.459,0.1827,2022-02-01 18:51:21
54.9,22,12.9,16.6,11.7,-2.2454,-0.4579,0.1672,2022-02-01 18:51:31
54.9,22,12.9,16.6,11.7,-2.3034,-0.4579,0.1423,2022-02-01 18:51:41
54.9,22,13.2,16.9,12.1,-2.3034,-0.4579,0.1675,2022-02-01 18:51:51
55,22,13.2,16.9,12.1,-2.2686,-0.4579,0.1591,2022-02-01 18:52:01
54.9,22,13.2,16.9,12.1,-2.315,-0.4579,0.1758,2022-02-01 18:52:11
54.9,22,13.2,16.9,12.1,-2.2454,-0.4579,0.1817,2022-02-01 18:52:21
57.1,24.4,14.4,17.7,13.2,-2.3382,-0.4579,-0.0076,2022-02-01 18:52:31
55,22,13.2,16.9,12.1,-2.2802,-0.4579,0.1601,2022-02-01 18:52:41
54.9,22,13.2,16.9,12.5,-2.3034,-0.4579,0.1512,2022-02-01 18:52:51
54.9,22,13.2,16.9,12.1,-2.3266,-0.459,0.1956,2022-02-01 18:53:01
54.9,22,12.9,16.6,11.7,-2.3266,-0.4579,0.136,2022-02-01 18:53:11
54.9,22,12.9,16.6,11.7,-2.315,-0.4579,0.1545,2022-02-01 18:53:21
54.9,22,12.9,16.6,11.7,-2.3266,-0.4579,0.1624,2022-02-01 18:53:31
55,22,12.9,16.6,12.1,-2.315,-0.4579,0.1751,2022-02-01 18:53:41
55,22,12.9,16.6,12.1,-2.3266,-0.459,0.17,2022-02-01 18:53:51
57.2,24.4,14,17.4,13.2,-2.2918,-0.459,0.0077,2022-02-01 18:54:01
55,22,12.9,16.6,12.1,-2.2454,-0.4579,0.1538,2022-02-01 18:54:11
55,22,12.9,16.6,12.1,-2.2686,-0.4579,0.1756,2022-02-01 18:54:21
55,22,12.9,16.6,11.7,-2.2802,-0.4579,0.1533,2022-02-01 18:54:31
55,22,12.9,16.6,12.1,-2.3266,-0.4579,0.1327,2022-02-01 18:54:41
55,22,13.2,16.9,12.1,-2.3034,-0.4579,0.1834,2022-02-01 18:54:51
55,22,12.9,16.6,11.7,-2.315,-0.459,0.1697,2022-02-01 18:55:01
55,22,13.2,16.9,12.1,-2.3731,-0.4579,0.1743,2022-02-01 18:55:11
55,22,12.9,16.6,12.1,-2.3382,-0.459,0.1525,2022-02-01 18:55:21
57.2,24.4,14.4,17.7,13.2,-2.315,-0.459,-0.0038,2022-02-01 18:55:31
55,22,13.2,16.9,12.5,-2.3266,-0.459,0.185,2022-02-01 18:55:41
55,22,13.2,16.9,12.1,-2.315,-0.4579,0.1469,2022-02-01 18:55:51
55,22,13.6,17.2,12.5,-2.315,-0.459,0.1799,2022-02-01 18:56:01
55,22,13.6,17.2,12.5,-2.3731,-0.459,0.1695,2022-02-01 18:56:11
55,22,13.6,17.2,12.1,-2.2918,-0.4579,0.1644,2022-02-01 18:56:21
55,22,13.6,17.2,12.5,-2.2918,-0.4579,0.1733,2022-02-01 18:56:31
55,22,13.2,16.9,12.5,-2.2802,-0.4579,0.1507,2022-02-01 18:56:41
55,22,12.9,16.6,12.1,-2.3382,-0.4579,0.1512,2022-02-01 18:56:51
57.2,24.4,14,17.4,12.8,-2.3382,-0.4579,0.0125,2022-02-01 18:57:01
55,22,12.9,16.6,11.7,-2.2918,-0.4579,0.1502,2022-02-01 18:57:11
55,22,13.2,16.9,12.1,-2.3847,-0.4579,0.1418,2022-02-01 18:57:21
55,22,12.9,16.6,11.7,-2.3266,-0.4579,0.1418,2022-02-01 18:57:31
55,22,12.9,16.6,12.1,-2.3266,-0.4579,0.1548,2022-02-01 18:57:41
55,22,12.9,16.6,12.1,-2.3034,-0.4579,0.1568,2022-02-01 18:57:51
55,22,13.2,16.9,12.1,-2.3731,-0.459,0.1776,2022-02-01 18:58:01
55,22,13.2,16.9,12.1,-2.3266,-0.4579,0.1796,2022-02-01 18:58:11
55,22,13.2,16.9,12.1,-2.3266,-0.459,0.1611,2022-02-01 18:58:21
57.2,24.4,14.4,17.7,13.2,-2.2918,-0.459,0.0079,2022-02-01 18:58:31
55,22,13.2,16.9,12.1,-2.3034,-0.4579,0.1697,2022-02-01 18:58:41
55,22,13.2,16.9,12.1,-2.315,-0.4579,0.1784,2022-02-01 18:58:51
55,22,13.2,16.9,12.1,-2.2338,-0.4579,0.1637,2022-02-01 18:59:01
55,22,13.2,16.9,12.1,-2.2338,-0.4579,0.1482,2022-02-01 18:59:11
55,22,13.2,16.9,12.5,-2.3266,-0.4579,0.1667,2022-02-01 18:59:21
55,22,13.2,16.9,12.5,-2.2686,-0.4579,0.137,2022-02-01 18:59:31
55,22,13.2,16.9,12.1,-2.3034,-0.4579,0.1611,2022-02-01 18:59:41
55,22,13.2,16.9,12.1,-2.2918,-0.4579,0.1728,2022-02-01 18:59:51
57.2,24.4,14,17.4,12.8,-2.3499,-0.4579,-0.0167,2022-02-01 19:00:01
55,22,12.9,16.6,12.1,-2.2802,-0.4579,0.1634,2022-02-01 19:00:11
55,22,13.2,16.9,12.1,-2.2918,-0.4579,0.1563,2022-02-01 19:00:21
55,22,12.9,16.6,12.1,-2.3499,-0.4579,0.1576,2022-02-01 19:00:31
54.9,22,12.9,16.6,11.7,-2.3499,-0.459,0.1535,2022-02-01 19:00:41
54.9,22,12.9,16.6,11.7,-2.2802,-0.459,0.1647,2022-02-01 19:00:51
54.9,22,13.2,16.9,12.5,-2.3034,-0.4579,0.1873,2022-02-01 19:01:01
54.9,22,12.9,16.6,12.1,-2.3266,-0.4579,0.1469,2022-02-01 19:01:11
54.9,22,12.9,16.6,12.1,-2.3847,-0.4579,0.156,2022-02-01 19:01:21
57.1,24.4,14,17.4,13.2,-2.315,-0.4579,-0.0309,2022-02-01 19:01:31
54.9,22,12.9,16.6,11.7,-2.3382,-0.4579,0.1373,2022-02-01 19:01:41
55,22,12.9,16.6,11.7,-2.3847,-0.4579,0.1611,2022-02-01 19:01:51
55,22,12.9,16.6,11.7,-2.3963,-0.4579,0.1281,2022-02-01 19:02:01
55,22,12.9,16.6,12.1,-2.3963,-0.459,0.1327,2022-02-01 19:02:11
54.9,22,12.9,16.6,11.7,-2.315,-0.4579,0.1837,2022-02-01 19:02:21
55,22,13.2,16.9,12.1,-2.3615,-0.459,0.1614,2022-02-01 19:02:31
55,22,13.2,16.9,12.5,-2.3266,-0.459,0.1527,2022-02-01 19:02:41
55,22,13.2,16.9,12.1,-2.4195,-0.4579,0.1725,2022-02-01 19:02:51
57.2,24.4,14.4,17.7,13.2,-2.3615,-0.459,-0.0106,2022-02-01 19:03:01
55,22,13.2,16.9,12.1,-2.3847,-0.4579,0.1644,2022-02-01 19:03:11
55,22,13.2,16.9,12.5,-2.4079,-0.4579,0.1571,2022-02-01 19:03:21
55,22,13.2,16.9,12.1,-2.3382,-0.4579,0.1494,2022-02-01 19:03:31
