humidity,temp,PM2_5,PM10,PM1_0,CO,NO2,SO2,AQI,datetime
52.6,25.8,14.7,18.8,13.2,-3.3711,-0.5137,0.0404,55.7692377251811,2021-12-26 01:36:30
52.6,25.8,14.7,18.8,12.8,-3.3827,-0.5148,0.0427,55.7692377251811,2021-12-26 01:36:40
52.6,25.8,14.7,18.8,13.6,-3.3827,-0.5148,0.0437,55.7692377251811,2021-12-26 01:36:50
53.1,25.2,18.8,23,16.9,-2.7328,-0.5148,0.0663,64.5299201081162,2021-12-26 10:37:02
53.1,25.2,18.8,23,16.9,-2.7212,-0.5148,0.0589,64.5299201081162,2021-12-26 10:37:11
53.1,25.2,18.8,23,17.3,-2.7212,-0.5148,0.0592,64.5299201081162,2021-12-26 10:37:18
53.1,25.2,16.7,20.8,15.2,-2.9533,-0.5148,0.0538,60.0427413266129,2021-12-26 13:02:27
53.1,25.2,16.7,20.8,15.2,-2.9417,-0.5148,0.0543,60.0427413266129,2021-12-26 13:02:37
53.1,25.2,16.7,20.8,15.6,-2.9417,-0.5148,0.0526,60.0427413266129,2021-12-26 13:02:47
52.8,24.2,26.8,31,24.9,-2.7909,-0.5137,0.0503,81.6239345138434,2021-12-26 17:38:56
52.8,24.2,26.8,31,25.3,-2.8025,-0.5137,0.049,81.6239345138434,2021-12-26 17:39:06
52.8,24.2,26.8,31,25.3,-2.8141,-0.5137,0.0475,81.6239345138434,2021-12-26 17:39:16
53.6,23.3,24.9,29.1,22.7,-2.9533,-0.5137,0.0427,77.5641060924832,2021-12-26 18:38:56
53.7,23.3,25.6,29.5,23.6,-2.9533,-0.5137,0.0371,79.0598323529843,2021-12-26 18:39:06
56.4,25.4,27.1,30.8,24.7,-2.9533,-0.5137,0.0396,82.2649600540581,2021-12-26 18:39:16
56.9,24.3,18.1,21.4,16.5,-3.197,-0.5137,0.0325,63.0341938476151,2021-12-26 20:40:55
54.5,22,16.6,20.3,15.3,-3.1854,-0.5137,0.1926,59.8290661465413,2021-12-26 20:41:05
54.5,22,16.6,20.3,14.9,-3.197,-0.5137,0.1855,59.8290661465413,2021-12-26 20:41:15
54.5,22,16.3,20,14.9,-3.197,-0.5137,0.1855,59.1880406063265,2021-12-26 20:41:25
54.5,22,16.3,20,14.9,-3.1738,-0.5137,0.1763,59.1880406063265,2021-12-26 20:41:35
54.5,22,16.6,20.3,15.3,-3.1738,-0.5137,0.184,59.8290661465413,2021-12-26 20:41:45
54.5,22,16.6,20.3,15.3,-3.1622,-0.5137,0.1819,59.8290661465413,2021-12-26 20:41:55
54.5,22,16.6,20.3,15.3,-3.1622,-0.5137,0.1807,59.8290661465413,2021-12-26 20:42:05
54.5,22,16.3,20,14.9,-3.1506,-0.5137,0.188,59.1880406063265,2021-12-26 20:42:15
56.9,24.3,17.4,20.8,16.5,-3.1506,-0.5137,0.0272,61.538467587114,2021-12-26 20:42:25
54.5,22,16.3,20,14.9,-3.1506,-0.5137,0.1824,59.1880406063265,2021-12-26 20:42:35
54.5,22,16.6,20.3,15.8,-3.139,-0.5148,0.1801,59.8290661465413,2021-12-26 20:42:45
54.6,22,16.6,20.6,15.4,-3.1506,-0.5148,0.1766,59.8290661465413,2021-12-26 20:42:55
54.6,21.9,16.6,20.3,15.8,-3.1506,-0.5148,0.1827,59.8290661465413,2021-12-26 20:43:05
54.6,22,17,20.6,15.8,-3.1506,-0.5148,0.1766,60.6837668668276,2021-12-26 20:43:15
54.6,22,17,20.6,16.2,-3.1506,-0.5137,0.1736,60.6837668668276,2021-12-26 20:43:25
54.6,22,17,20.6,15.8,-3.1506,-0.5137,0.1781,60.6837668668276,2021-12-26 20:43:35
54.6,22,17,20.6,15.8,-3.1506,-0.5137,0.1837,60.6837668668276,2021-12-26 20:43:45
57,24.3,18.1,21.4,16.9,-3.1506,-0.5137,0.028,63.0341938476151,2021-12-26 20:43:55
54.6,21.9,17.3,21.2,16.2,-3.1506,-0.5137,0.1786,61.3247924070424,2021-12-26 20:44:05
54.6,21.9,16.9,20.6,15.8,-3.1622,-0.5137,0.1819,60.4700916867561,2021-12-26 20:44:15
54.6,21.9,17,20.9,15.8,-3.1622,-0.5137,0.1804,60.6837668668276,2021-12-26 20:44:25
54.7,22,17,20.6,15.8,-3.1738,-0.5148,0.1799,60.6837668668276,2021-12-26 20:44:35
