humidity,temp,PM2_5,PM10,PM1_0,CO,NO2,SO2,datetime
64.3,20.7,10.2,12.2,9.6,-2.4659,-0.4746,1.6218,2022-02-01 18:14:17
64.3,20.7,10.2,12.2,9.6,-2.4659,-0.4746,1.549,2022-02-01 18:14:27
64.3,20.7,10.2,12.2,9.6,-2.4543,-0.4735,1.6025,2022-02-01 18:14:37
64.3,20.7,10.2,12.2,9.2,-2.4659,-0.4735,1.6056,2022-02-01 18:14:47
64.3,20.7,10.2,12.2,9.6,-2.4543,-0.4746,1.5619,2022-02-01 18:14:57
64.3,20.7,10.2,12.2,9.6,-2.4543,-0.4735,1.5797,2022-02-01 18:15:07
64.3,20.7,10.2,12.2,9.6,-2.4659,-0.4746,1.6023,2022-02-01 18:15:17
64.3,20.7,9.9,11.9,9.2,-2.4659,-0.4746,1.6251,2022-02-01 18:15:27
64.3,20.7,9.9,11.9,9.2,-2.4775,-0.4746,1.5728,2022-02-01 18:15:37
62.3,23.3,10.4,12.8,9.7,-2.4659,-0.4746,0.8708,2022-02-01 18:15:47
64.3,20.7,9.9,11.9,9.2,-2.4659,-0.4746,1.5672,2022-02-01 18:15:57
64.3,20.7,9.9,11.9,9.2,-2.4659,-0.4746,1.5698,2022-02-01 18:16:07
64.3,20.7,10.2,12.2,9.6,-2.4543,-0.4735,1.5977,2022-02-01 18:16:17
64.3,20.7,10.2,12.2,9.6,-2.4543,-0.4735,1.5886,2022-02-01 18:16:27
64.3,20.7,10.6,12.5,10.1,-2.4543,-0.4735,1.5837,2022-02-01 18:16:37
64.2,20.7,10.6,12.5,10.1,-2.4659,-0.4746,1.5688,2022-02-01 18:16:47
64.3,20.7,10.6,12.5,10.1,-2.4775,-0.4746,1.5802,2022-02-01 18:16:57
64.3,20.7,10.2,12.2,9.6,-2.4775,-0.4746,1.5782,2022-02-01 18:17:07
64.3,20.7,10.2,12.2,9.6,-2.4659,-0.4746,1.5624,2022-02-01 18:17:17
62.3,23.3,10.4,12.8,9.7,-2.4543,-0.4746,0.9358,2022-02-01 18:17:27
64.3,20.7,9.9,11.9,9.2,-2.4659,-0.4746,1.5358,2022-02-01 18:17:37
64.3,20.7,9.9,11.9,9.2,-2.4659,-0.4746,1.5908,2022-02-01 18:17:47
64.3,20.7,9.9,11.9,9.2,-2.4543,-0.4735,1.5809,2022-02-01 18:17:57
64.3,20.7,9.9,11.9,9.2,-2.4659,-0.4735,1.5338,2022-02-01 18:18:07
64.3,20.7,9.9,11.9,9.2,-2.4659,-0.4735,1.6002,2022-02-01 18:18:17
64.3,20.7,10.2,12.2,9.6,-2.4775,-0.4746,1.5601,2022-02-01 18:18:27
64.3,20.7,10.2,12.2,9.6,-2.4775,-0.4746,1.5749,2022-02-01 18:18:37
64.2,20.7,10.6,12.5,9.6,-2.4659,-0.4746,1.6264,2022-02-01 18:18:47
62.3,23.3,11.1,13.4,10.5,-2.4891,-0.4746,0.9312,2022-02-01 18:18:57
64.3,20.7,10.6,12.5,10.1,-2.4659,-0.4746,1.5713,2022-02-01 18:19:07
