PM2_5,temperature,humidity,time
13.2,34,62.5,2021-09-20 00:00:01
12.8,34,62.5,2021-09-20 00:00:06
12.6,33.8,61.4,2021-09-20 00:00:11
12.9,34.1,62.6,2021-09-20 00:00:16
12.9,34.1,62.6,2021-09-20 00:00:21
12.9,34.1,62.6,2021-09-20 00:00:26
12.8,34,62.5,2021-09-20 00:00:31
13.2,34.1,62.6,2021-09-20 00:00:36
13.2,34.1,62.6,2021-09-20 00:00:41
13.2,34.1,62.6,2021-09-20 00:00:46
13.2,34.1,62.6,2021-09-20 00:00:51
13.2,34.1,62.6,2021-09-20 00:00:56
13,33.9,61.4,2021-09-20 00:01:01
13.2,34.1,62.6,2021-09-20 00:01:06
13.2,34.1,62.6,2021-09-20 00:01:11
13.2,34.1,62.6,2021-09-20 00:01:16
13.2,34.1,62.6,2021-09-20 00:01:21
13.2,34.1,62.6,2021-09-20 00:01:26
13.2,34.1,62.6,2021-09-20 00:01:31
13.2,34.1,62.6,2021-09-20 00:01:36
13.2,34.1,62.6,2021-09-20 00:01:41
13.2,34.1,62.6,2021-09-20 00:01:46
12.6,33.9,61.4,2021-09-20 00:01:51
13.2,34.1,62.6,2021-09-20 00:01:56
13.2,34.1,62.6,2021-09-20 00:02:01
13.2,34.1,62.6,2021-09-20 00:02:06
13.2,34.1,62.5,2021-09-20 00:02:11
13.2,34.1,62.6,2021-09-20 00:02:16
12.9,34.1,62.5,2021-09-20 00:02:21
12.9,34.1,62.6,2021-09-20 00:02:26
13.2,34.1,62.5,2021-09-20 00:02:31
13,33.9,61.4,2021-09-20 00:02:36
13.2,34.1,62.6,2021-09-20 00:02:41
13.2,34.1,62.6,2021-09-20 00:02:46
13.2,34.1,62.6,2021-09-20 00:02:51
12.9,34.1,62.6,2021-09-20 00:02:56
13.2,34.1,62.5,2021-09-20 00:03:01
13.2,34.1,62.5,2021-09-20 00:03:06
13.2,34.1,62.5,2021-09-20 00:03:11
13.2,34.1,62.6,2021-09-20 00:03:16
13.2,34.1,62.6,2021-09-20 00:03:21
13,33.9,61.4,2021-09-20 00:03:26
13.2,34.1,62.6,2021-09-20 00:03:31
12.9,34.1,62.5,2021-09-20 00:03:36
12.9,34.1,62.6,2021-09-20 00:03:41
12.9,34.1,62.6,2021-09-20 00:03:46
12.9,34.1,62.6,2021-09-20 00:03:51
12.9,34.1,62.6,2021-09-20 00:03:56
12.9,34.1,62.5,2021-09-20 00:04:01
12.9,34.1,62.6,2021-09-20 00:04:06
13.2,34.1,62.6,2021-09-20 00:04:11
13,33.9,61.4,2021-09-20 00:04:16
13.2,34.1,62.6,2021-09-20 00:04:21
13.2,34.1,62.6,2021-09-20 00:04:26
13.2,34.1,62.5,2021-09-20 00:04:31
13.2,34.1,62.6,2021-09-20 00:04:36
12.9,34.1,62.5,2021-09-20 00:04:41
12.9,34.1,62.5,2021-09-20 00:04:46
12.9,34.1,62.5,2021-09-20 00:04:51
12.9,34.1,62.6,2021-09-20 00:04:56
12.6,33.9,61.4,2021-09-20 00:05:01
12.9,34.1,62.6,2021-09-20 00:05:06
12.9,34.1,62.6,2021-09-20 00:05:11
12.9,34.1,62.6,2021-09-20 00:05:16
12.9,34.1,62.5,2021-09-20 00:05:21
12.9,34.1,62.5,2021-09-20 00:05:26
12.9,34.1,62.5,2021-09-20 00:05:31
12.9,34.1,62.5,2021-09-20 00:05:36
12.9,34.1,62.6,2021-09-20 00:05:41
12.9,34.1,62.5,2021-09-20 00:05:46
12.6,33.9,61.4,2021-09-20 00:05:51
12.9,34.1,62.5,2021-09-20 00:05:56
12.9,34.1,62.5,2021-09-20 00:06:01
12.9,34.1,62.5,2021-09-20 00:06:06
12.9,34.1,62.5,2021-09-20 00:06:11
12.9,34.1,62.5,2021-09-20 00:06:16
12.9,34.1,62.5,2021-09-20 00:06:21
12.9,34.1,62.5,2021-09-20 00:06:26
12.9,34.1,62.5,2021-09-20 00:06:31
12.9,34.1,62.5,2021-09-20 00:06:36
13,33.9,61.4,2021-09-20 00:06:41
13.2,34.1,62.6,2021-09-20 00:06:46
13.2,34.1,62.5,2021-09-20 00:06:51
12.9,34.1,62.6,2021-09-20 00:06:56
12.9,34.1,62.5,2021-09-20 00:07:01
13.2,34.1,62.5,2021-09-20 00:07:06
13.2,34.1,62.5,2021-09-20 00:07:11
13.2,34.1,62.5,2021-09-20 00:07:16
12.9,34.1,62.6,2021-09-20 00:07:21
12.9,34.1,62.5,2021-09-20 00:07:26
12.6,33.9,61.4,2021-09-20 00:07:31
12.9,34.1,62.6,2021-09-20 00:07:36
12.9,34.1,62.5,2021-09-20 00:07:41
12.9,34.1,62.5,2021-09-20 00:07:46
12.9,34.1,62.6,2021-09-20 00:07:51
12.9,34.1,62.6,2021-09-20 00:07:56
12.9,34.1,62.5,2021-09-20 00:08:01
12.9,34.1,62.5,2021-09-20 00:08:06
13.2,34.1,62.6,2021-09-20 00:08:11
13,33.9,61.4,2021-09-20 00:08:16
13.2,34.1,62.6,2021-09-20 00:08:21
13.2,34.1,62.6,2021-09-20 00:08:26
13.2,34.1,62.6,2021-09-20 00:08:31
12.9,34.1,62.6,2021-09-20 00:08:36
12.9,34.1,62.6,2021-09-20 00:08:41
13.2,34.1,62.6,2021-09-20 00:08:46
13.2,34.1,62.6,2021-09-20 00:08:51
12.9,34.1,62.5,2021-09-20 00:08:56
12.9,34.1,62.6,2021-09-20 00:09:01
12.6,33.9,61.4,2021-09-20 00:09:06
12.9,34.1,62.6,2021-09-20 00:09:11
12.9,34.1,62.6,2021-09-20 00:09:16
12.9,34.1,62.6,2021-09-20 00:09:21
13.2,34.1,62.6,2021-09-20 00:09:26
13.2,34.1,62.6,2021-09-20 00:09:31
13.2,34.1,62.6,2021-09-20 00:09:36
13.2,34.1,62.6,2021-09-20 00:09:41
13.6,34.1,62.6,2021-09-20 00:09:46
13.6,34.1,62.6,2021-09-20 00:09:51
13.7,33.9,61.4,2021-09-20 00:09:56
14.3,34.1,62.6,2021-09-20 00:10:01
14.3,34.1,62.6,2021-09-20 00:10:06
14.6,34.1,62.6,2021-09-20 00:10:11
14.6,34.1,62.6,2021-09-20 00:10:16
15,34.1,62.6,2021-09-20 00:10:21
15,34.1,62.6,2021-09-20 00:10:26
15,34.1,62.6,2021-09-20 00:10:31
15,34.1,62.6,2021-09-20 00:10:36
15,34.1,62.6,2021-09-20 00:10:41
15.1,33.9,61.4,2021-09-20 00:10:46
15.3,34.1,62.6,2021-09-20 00:10:51
15,34.1,62.6,2021-09-20 00:10:56
15,34.1,62.6,2021-09-20 00:11:01
15,34.1,62.6,2021-09-20 00:11:06
15,34.1,62.5,2021-09-20 00:11:11
15,34.1,62.6,2021-09-20 00:11:16
15,34.1,62.6,2021-09-20 00:11:21
15,34.1,62.6,2021-09-20 00:11:26
14.7,33.9,61.4,2021-09-20 00:11:31
15,34.1,62.5,2021-09-20 00:11:36
15,34.1,62.5,2021-09-20 00:11:41
15,34.1,62.6,2021-09-20 00:11:46
15,34.1,62.5,2021-09-20 00:11:51
15,34.1,62.5,2021-09-20 00:11:56
