PM2_5,temperature,humidity,time
13.9,34.1,58.2,2021-09-20 00:00:01
13.9,34.1,58.2,2021-09-20 00:00:06
13.9,34.1,58.2,2021-09-20 00:00:11
13.9,34.1,58.2,2021-09-20 00:00:16
13.9,34.1,58.2,2021-09-20 00:00:21
13.9,34.1,58.2,2021-09-20 00:00:26
14,33.9,59,2021-09-20 00:00:31
13.9,34.1,58.2,2021-09-20 00:00:36
13.9,34.1,58.2,2021-09-20 00:00:41
13.9,34.1,58.2,2021-09-20 00:00:46
13.9,34.1,58.2,2021-09-20 00:00:51
13.9,34.1,58.2,2021-09-20 00:00:57
13.9,34.1,58.2,2021-09-20 00:01:01
13.9,34.1,58.2,2021-09-20 00:01:06
13.9,34.1,58.2,2021-09-20 00:01:11
14.3,33.9,59,2021-09-20 00:01:16
14.2,34.1,58.2,2021-09-20 00:01:21
13.9,34.1,58.2,2021-09-20 00:01:26
13.9,34.1,58.2,2021-09-20 00:01:31
14.2,34.1,58.2,2021-09-20 00:01:36
13.9,34.1,58.2,2021-09-20 00:01:41
13.9,34.1,58.2,2021-09-20 00:01:46
13.9,34.1,58.2,2021-09-20 00:01:51
13.9,34.1,58.2,2021-09-20 00:01:56
13.9,34.1,58.2,2021-09-20 00:02:01
14,33.9,59,2021-09-20 00:02:06
13.9,34.1,58.2,2021-09-20 00:02:11
13.9,34.1,58.2,2021-09-20 00:02:16
13.9,34.1,58.2,2021-09-20 00:02:21
13.9,34.1,58.2,2021-09-20 00:02:26
13.9,34.1,58.2,2021-09-20 00:02:31
13.9,34.1,58.2,2021-09-20 00:02:36
13.9,34.1,58.2,2021-09-20 00:02:41
13.9,34.1,58.2,2021-09-20 00:02:46
13.9,34.1,58.2,2021-09-20 00:02:51
14,33.9,59,2021-09-20 00:02:56
13.9,34.1,58.2,2021-09-20 00:03:01
13.9,34.1,58.2,2021-09-20 00:03:06
13.9,34.1,58.2,2021-09-20 00:03:11
13.9,34.1,58.2,2021-09-20 00:03:16
13.9,34.1,58.2,2021-09-20 00:03:21
13.9,34.1,58.2,2021-09-20 00:03:26
13.9,34.1,58.2,2021-09-20 00:03:32
13.9,34.1,58.2,2021-09-20 00:03:36
13.9,34.1,58.2,2021-09-20 00:03:41
13.6,33.9,59,2021-09-20 00:03:46
13.5,34.1,58.2,2021-09-20 00:03:51
13.5,34.1,58.2,2021-09-20 00:03:56
13.5,34.1,58.2,2021-09-20 00:04:01
13.5,34.1,58.2,2021-09-20 00:04:15
13.5,34.1,58.2,2021-09-20 00:04:18
13.5,34.1,58.2,2021-09-20 00:04:21
13.9,34.1,58.2,2021-09-20 00:04:27
13.9,34.1,58.2,2021-09-20 00:04:31
13.9,34.1,58.2,2021-09-20 00:04:36
14,33.9,59,2021-09-20 00:04:41
13.9,34.1,58.2,2021-09-20 00:04:46
13.9,34.1,58.2,2021-09-20 00:04:51
13.9,34.1,58.2,2021-09-20 00:04:56
13.9,34.1,58.2,2021-09-20 00:05:01
13.9,34.1,58.2,2021-09-20 00:05:06
13.9,34.2,58.2,2021-09-20 00:05:11
13.9,34.1,58.2,2021-09-20 00:05:16
13.9,34.1,58.2,2021-09-20 00:05:21
13.9,34.1,58.2,2021-09-20 00:05:26
13.9,33.9,59,2021-09-20 00:05:31
13.9,34.1,58.2,2021-09-20 00:05:36
13.9,34.1,58.2,2021-09-20 00:05:41
13.9,34.1,58.2,2021-09-20 00:05:46
13.9,34.1,58.2,2021-09-20 00:05:51
13.9,34.1,58.2,2021-09-20 00:05:56
13.9,34.1,58.2,2021-09-20 00:06:01
14.2,34.1,58.2,2021-09-20 00:06:06
14.2,34.1,58.2,2021-09-20 00:06:12
14.3,34.2,58.2,2021-09-20 00:06:16
14.3,34,59,2021-09-20 00:06:21
14.2,34.1,58.2,2021-09-20 00:06:26
14.2,34.1,58.2,2021-09-20 00:06:31
14.6,34.2,58.2,2021-09-20 00:06:36
14.6,34.1,58.2,2021-09-20 00:06:41
14.6,34.1,58.2,2021-09-20 00:06:46
14.6,34.1,58.2,2021-09-20 00:06:51
14.6,34.2,58.2,2021-09-20 00:06:56
14.6,34.1,58.2,2021-09-20 00:07:01
14.6,34.1,58.2,2021-09-20 00:07:06
14.3,33.9,59,2021-09-20 00:07:11
14.3,34.2,58.2,2021-09-20 00:07:16
14.2,34.1,58.2,2021-09-20 00:07:21
14.3,34.2,58.2,2021-09-20 00:07:26
14.3,34.2,58.2,2021-09-20 00:07:31
14.3,34.2,58.2,2021-09-20 00:07:36
14.3,34.2,58.2,2021-09-20 00:07:41
14.3,34.2,58.2,2021-09-20 00:07:46
14.3,34.2,58.2,2021-09-20 00:07:51
14.3,34,59,2021-09-20 00:07:56
14.2,34.1,58.2,2021-09-20 00:08:01
14.3,34.2,58.2,2021-09-20 00:08:06
14.3,34.2,58.2,2021-09-20 00:08:11
14.3,34.2,58.2,2021-09-20 00:08:16
14.3,34.2,58.2,2021-09-20 00:08:21
14.3,34.2,58.2,2021-09-20 00:08:26
14.3,34.2,58.2,2021-09-20 00:08:31
14.3,34.2,58.2,2021-09-20 00:08:36
14.3,34.2,58.2,2021-09-20 00:08:41
14.3,34,59,2021-09-20 00:08:47
14.3,34.2,58.2,2021-09-20 00:08:51
14.3,34.2,58.2,2021-09-20 00:08:56
14.3,34.2,58.2,2021-09-20 00:09:01
14.3,34.2,58.2,2021-09-20 00:09:06
14.3,34.2,58.2,2021-09-20 00:09:11
14.3,34.2,58.2,2021-09-20 00:09:16
14.3,34.2,58.2,2021-09-20 00:09:21
14.3,34.2,58.2,2021-09-20 00:09:26
14.6,34.2,58.2,2021-09-20 00:09:31
15,34,59,2021-09-20 00:09:36
15,34.2,58.2,2021-09-20 00:09:41
15.3,34.2,58.2,2021-09-20 00:09:46
15.7,34.2,58.2,2021-09-20 00:09:51
16,34.2,58.2,2021-09-20 00:09:56
16.7,34.2,58.1,2021-09-20 00:10:01
17,34.2,58.1,2021-09-20 00:10:06
17.4,34.2,58.1,2021-09-20 00:10:13
17.7,34.2,58.1,2021-09-20 00:10:16
18.1,34.2,58.1,2021-09-20 00:10:21
18.1,34,58.9,2021-09-20 00:10:26
18.1,34.2,58.1,2021-09-20 00:10:31
18.1,34.2,58.1,2021-09-20 00:10:36
18.1,34.2,58.1,2021-09-20 00:10:41
18.4,34.2,58.1,2021-09-20 00:10:46
18.4,34.2,58.1,2021-09-20 00:10:51
18.5,34.3,58.1,2021-09-20 00:10:56
18.8,34.3,58.1,2021-09-20 00:11:01
18.8,34.2,58.1,2021-09-20 00:11:06
18.8,34,58.9,2021-09-20 00:11:11
19.1,34.2,58,2021-09-20 00:11:16
19.1,34.2,58.1,2021-09-20 00:11:22
19.5,34.2,58.1,2021-09-20 00:11:26
19.5,34.2,58,2021-09-20 00:11:31
19.8,34.2,58,2021-09-20 00:11:36
19.8,34.2,58,2021-09-20 00:11:41
19.8,34.3,58.1,2021-09-20 00:11:46
19.8,34.2,58,2021-09-20 00:11:51
19.8,34.3,58.1,2021-09-20 00:11:56
19.9,34.1,58.9,2021-09-20 00:12:01
19.8,34.3,58,2021-09-20 00:12:06
19.8,34.3,58,2021-09-20 00:12:11
19.8,34.3,58,2021-09-20 00:12:16
20.2,34.3,58,2021-09-20 00:12:21
20.2,34.3,58,2021-09-20 00:12:26
20.2,34.3,58,2021-09-20 00:12:31
20.5,34.3,58,2021-09-20 00:12:36
20.5,34.3,57.9,2021-09-20 00:12:41
20.5,34.3,58,2021-09-20 00:12:46
20.6,34.1,58.8,2021-09-20 00:12:51
20.5,34.3,58,2021-09-20 00:12:56
20.5,34.3,58,2021-09-20 00:13:01
20.5,34.3,58,2021-09-20 00:13:06
20.9,34.3,58,2021-09-20 00:13:11
20.9,34.3,58,2021-09-20 00:13:16
20.5,34.3,58,2021-09-20 00:13:21
20.1,34.2,57.9,2021-09-20 00:13:26
20.2,34.3,58,2021-09-20 00:13:31
