datetime,PM2_5,PM10_0,temp,humidity,PM2_5_cal,temp_cal,humidity_cal,PM10_0_cal
2021-09-24 11:37:00,28.3,29.0,29.2,74.1,46.0,27.97,84.64,57.0
2021-09-24 11:38:00,27.89,28.49,29.21,75.26,46.0,27.91,84.79,58.0
2021-09-24 11:39:00,26.2,26.98,29.35,73.97,54.0,27.99,84.56,64.0
2021-09-24 11:40:00,24.93,25.78,29.37,73.7,52.0,28.06,84.23,63.0
2021-09-24 11:42:00,26.23,26.93,29.43,74.43,50.0,28.11,83.97,62.0
2021-09-24 11:43:00,27.07,27.7,29.33,75.65,50.0,28.18,83.74,62.0
2021-09-24 11:44:00,25.85,26.53,29.53,74.7,47.0,28.19,83.76,58.0
2021-09-24 11:46:00,24.55,25.2,29.5,75.47,45.0,28.24,83.34,55.0
2021-09-24 11:49:00,23.03,23.68,29.62,75.0,39.0,28.22,82.23,48.0
2021-09-24 11:51:00,25.38,26.05,29.8,74.85,43.0,28.19,82.51,54.0
2021-09-24 11:52:00,24.33,25.32,29.98,73.57,42.0,28.17,82.83,52.0
2021-09-24 11:54:00,22.75,23.45,29.95,74.58,42.0,28.2,82.87,50.0
2021-09-24 11:55:00,22.55,23.6,30.22,72.88,42.0,28.22,82.66,51.0
2021-09-24 11:56:00,23.8,24.5,30.18,74.36,42.0,28.18,83.04,51.0
2021-09-24 11:57:00,23.7,24.67,30.35,73.15,42.0,28.19,83.27,51.0
2021-09-24 11:59:00,22.98,23.8,30.32,74.07,41.0,28.24,83.28,50.0
2021-09-24 12:00:00,23.07,23.98,30.5,72.87,41.0,28.29,83.03,50.0
2021-09-24 12:01:00,23.12,24.15,30.58,72.72,40.0,28.26,83.25,49.0
2021-09-24 12:02:00,23.02,23.93,30.58,73.52,39.0,28.25,83.52,47.0
2021-09-24 12:04:00,22.57,23.5,30.7,73.18,39.0,28.21,83.45,46.0
2021-09-24 12:05:00,21.9,23.07,30.82,72.17,39.0,28.21,83.3,46.0
2021-09-24 12:06:00,23.4,24.5,30.88,72.07,39.0,28.21,83.69,47.0
2021-09-24 12:07:00,23.12,24.15,30.88,72.8,39.0,28.11,84.16,47.0
2021-09-24 12:09:00,22.52,23.72,31.08,71.73,40.0,28.16,83.79,49.0
2021-09-24 12:10:00,23.47,24.43,31.07,72.57,40.0,28.18,83.81,48.0
2021-09-24 12:11:00,22.92,24.08,31.17,71.52,39.0,28.18,84.0,47.0
2021-09-24 12:12:00,23.13,24.2,31.1,72.4,39.0,28.22,84.17,47.0
2021-09-24 12:14:00,23.75,25.03,31.32,71.28,40.0,28.17,84.21,49.0
2021-09-24 12:15:00,23.23,24.35,31.3,72.05,40.0,28.2,83.92,49.0
2021-09-24 12:16:00,22.67,23.97,31.42,70.93,40.0,28.21,83.77,49.0
2021-09-24 12:17:00,22.1,23.35,31.4,71.7,40.0,28.23,83.69,49.0
2021-09-24 12:19:00,21.47,22.92,31.5,70.75,38.0,28.24,83.5,46.0
2021-09-24 12:20:00,22.35,23.65,31.5,71.4,38.0,28.26,83.64,46.0
2021-09-24 12:21:00,22.98,24.35,31.62,70.22,38.0,28.21,83.63,45.0
2021-09-24 12:22:00,23.12,24.52,31.65,70.0,38.0,28.12,83.73,44.0
2021-09-24 12:24:00,21.23,22.7,31.75,70.07,37.0,28.11,83.99,43.0
2021-09-24 12:25:00,21.4,22.8,31.7,70.9,37.0,28.15,83.99,44.0
2021-09-24 12:26:00,22.5,24.0,31.82,69.88,37.0,28.15,83.91,44.0
2021-09-24 12:27:00,22.55,24.05,31.85,69.78,37.0,28.13,84.05,45.0
2021-09-24 12:29:00,21.55,23.12,31.85,69.77,36.0,28.07,84.41,43.0
2021-09-24 12:30:00,19.6,21.1,31.85,69.88,36.0,28.09,84.26,44.0
2021-09-24 12:31:00,19.6,21.0,31.83,70.72,36.0,28.17,84.04,44.0
2021-09-24 12:32:00,21.25,22.75,31.95,69.75,37.0,28.25,83.85,45.0
2021-09-24 12:33:00,21.63,23.13,31.9,70.4,37.0,28.27,83.69,45.0
2021-09-24 12:35:00,21.73,23.4,32.0,69.43,38.0,28.22,83.88,45.0
2021-09-24 12:36:00,22.78,24.2,32.0,70.1,39.0,28.18,84.19,46.0
2021-09-24 12:37:00,22.98,24.52,32.03,69.35,39.0,28.17,84.3,46.0
2021-09-24 12:38:00,21.95,23.55,32.03,69.35,39.0,28.18,84.24,46.0
