PM2_5,temperature,humidity,time
12.1,33.1,59.9,2021-09-20 00:00:54
12.1,33.1,59.9,2021-09-20 00:01:01
12.1,33.1,59.9,2021-09-20 00:01:09
12.1,33.1,59.9,2021-09-20 00:02:18
12.1,33.1,59.9,2021-09-20 00:02:26
12.1,33.1,59.9,2021-09-20 00:02:33
12.1,33.1,59.9,2021-09-20 00:03:42
12.1,33.1,59.9,2021-09-20 00:03:49
12.1,33.1,59.9,2021-09-20 00:03:57
12.1,33.1,59.9,2021-09-20 00:05:06
12.1,33.1,59.9,2021-09-20 00:05:13
12.1,33.1,59.9,2021-09-20 00:05:21
12.1,33.1,59.9,2021-09-20 00:06:30
12.1,33.1,59.9,2021-09-20 00:06:40
12.1,33.1,59.9,2021-09-20 00:06:47
12.1,33.1,59.9,2021-09-20 00:07:56
12.1,33.1,59.9,2021-09-20 00:08:04
12.1,33.1,59.9,2021-09-20 00:08:11
12.1,33.1,59.9,2021-09-20 00:09:20
12.1,33.1,59.9,2021-09-20 00:09:28
12.1,33.1,59.9,2021-09-20 00:09:35
12.1,33.1,59.9,2021-09-20 00:10:44
12.1,33.1,59.9,2021-09-20 00:10:51
12.1,33.1,59.9,2021-09-20 00:10:59
12.1,33.1,59.9,2021-09-20 00:12:08
12.1,33.1,59.9,2021-09-20 00:12:15
12.1,33.1,59.9,2021-09-20 00:12:23
12.1,33.1,59.9,2021-09-20 00:13:32
12.1,33.1,59.9,2021-09-20 00:13:39
12.1,33.1,59.9,2021-09-20 00:13:47
12.1,33.1,59.9,2021-09-20 00:14:56
12.1,33.1,59.9,2021-09-20 00:15:03
12.1,33.1,59.9,2021-09-20 00:15:11
12.1,33.1,59.9,2021-09-20 00:16:19
12.1,33.1,59.9,2021-09-20 00:16:27
12.1,33.1,59.9,2021-09-20 00:16:35
12.1,33.1,59.9,2021-09-20 00:17:43
12.1,33.1,59.9,2021-09-20 00:17:51
12.1,33.1,59.9,2021-09-20 00:17:59
12.1,33.1,59.9,2021-09-20 00:19:07
12.1,33.1,59.9,2021-09-20 00:19:15
12.1,33.1,59.9,2021-09-20 00:19:23
12.1,33.1,59.9,2021-09-20 00:20:31
12.1,33.1,59.9,2021-09-20 00:20:39
12.1,33.1,59.9,2021-09-20 00:20:49
12.1,33.1,59.9,2021-09-20 00:21:58
12.1,33.1,59.9,2021-09-20 00:22:05
12.1,33.1,59.9,2021-09-20 00:22:13
