humidity,temp,PM2_5,PM10_0,datetime
65.4,29.4,20.5,22.7,2021-09-24 11:37:54
67.4,29.5,20.9,22.8,2021-09-24 11:37:58
67.4,29.4,20.9,22.8,2021-09-24 11:38:04
67.4,29.4,21.2,23.1,2021-09-24 11:38:14
67.5,29.4,20.9,22.8,2021-09-24 11:38:24
67.6,29.4,20.9,22.8,2021-09-24 11:38:34
67.7,29.4,21.3,23.1,2021-09-24 11:38:44
67.8,29.4,21,22.8,2021-09-24 11:38:54
67.8,29.4,21,22.8,2021-09-24 11:39:04
64.3,30.2,21,23.3,2021-09-24 11:39:14
67.9,29.4,21.3,23.1,2021-09-24 11:39:24
68,29.5,21.4,23.1,2021-09-24 11:39:34
67.9,29.4,21.7,23.4,2021-09-24 11:39:44
67.9,29.4,21.7,23.4,2021-09-24 11:39:54
68,29.4,21.7,23.4,2021-09-24 11:40:04
68,29.4,21.4,23.1,2021-09-24 11:40:14
68.1,29.4,21.4,23.1,2021-09-24 11:40:24
68.2,29.4,21.4,23.1,2021-09-24 11:40:34
68.2,29.4,21,22.8,2021-09-24 11:40:44
64.5,30.2,20.3,22.7,2021-09-24 11:40:54
68.4,29.5,20.7,22.5,2021-09-24 11:41:04
68.4,29.5,20.7,22.5,2021-09-24 11:41:14
68.5,29.5,20.8,22.5,2021-09-24 11:41:24
68.5,29.5,20.8,22.5,2021-09-24 11:41:34
68.5,29.5,20.8,22.5,2021-09-24 11:41:44
68.6,29.5,20.8,22.5,2021-09-24 11:41:54
68.6,29.4,20.8,22.5,2021-09-24 11:42:04
68.7,29.5,20.8,22.5,2021-09-24 11:42:14
68.7,29.5,21.1,22.8,2021-09-24 11:42:24
64.8,30.2,20.4,22.7,2021-09-24 11:42:34
68.7,29.5,20.4,22.2,2021-09-24 11:42:44
68.7,29.5,20.4,22.2,2021-09-24 11:42:54
68.7,29.4,20.8,22.5,2021-09-24 11:43:04
68.7,29.5,20.4,22.2,2021-09-24 11:43:14
68.7,29.4,20.4,22.1,2021-09-24 11:43:24
68.8,29.5,20.1,21.6,2021-09-24 11:43:34
68.8,29.5,20.5,22.2,2021-09-24 11:43:44
68.9,29.5,20.5,22.2,2021-09-24 11:43:54
64.9,30.2,20,22.4,2021-09-24 11:44:04
68.8,29.5,20.8,22.5,2021-09-24 11:44:14
68.7,29.5,20.4,22.2,2021-09-24 11:44:24
68.7,29.5,20.4,22.2,2021-09-24 11:44:34
68.5,29.5,20.4,22.2,2021-09-24 11:44:44
68.5,29.5,20.4,22.2,2021-09-24 11:44:54
68.3,29.5,20.4,22.2,2021-09-24 11:45:04
68.2,29.5,20.4,22.2,2021-09-24 11:45:14
68.2,29.5,20.4,22.2,2021-09-24 11:45:24
68.1,29.5,20,21.5,2021-09-24 11:45:34
64.5,30.2,19.6,21.8,2021-09-24 11:45:44
68.1,29.5,19.6,21.2,2021-09-24 11:45:54
68,29.5,20,21.5,2021-09-24 11:46:04
68,29.5,19.6,21.2,2021-09-24 11:46:14
67.9,29.5,19.3,20.9,2021-09-24 11:46:24
67.9,29.5,19.6,21.2,2021-09-24 11:46:34
67.9,29.5,19.3,20.9,2021-09-24 11:46:44
67.9,29.5,19.3,20.9,2021-09-24 11:46:54
67.9,29.5,19.3,20.9,2021-09-24 11:47:04
68,29.5,19.3,20.9,2021-09-24 11:47:14
64.4,30.2,19.3,21.5,2021-09-24 11:47:24
68,29.5,19.6,21.2,2021-09-24 11:47:34
68,29.5,19.6,21.2,2021-09-24 11:47:44
68,29.5,19.6,21.2,2021-09-24 11:47:54
68,29.5,19.6,21.2,2021-09-24 11:48:04
68,29.5,20,21.5,2021-09-24 11:48:14
68,29.5,19.6,21.2,2021-09-24 11:48:24
68,29.5,20,21.5,2021-09-24 11:48:34
67.9,29.5,20,21.5,2021-09-24 11:48:44
67.9,29.5,19.6,21.2,2021-09-24 11:48:54
64.4,30.2,19.6,21.8,2021-09-24 11:49:04
67.9,29.5,20,21.5,2021-09-24 11:49:14
68,29.5,20,21.5,2021-09-24 11:49:24
68,29.5,20,21.5,2021-09-24 11:49:34
68,29.5,19.6,21.2,2021-09-24 11:49:44
68,29.5,20,21.5,2021-09-24 11:49:54
68,29.5,19.6,21.2,2021-09-24 11:50:04
68,29.5,19.6,21.2,2021-09-24 11:50:14
68,29.5,19.6,21.2,2021-09-24 11:50:24
68,29.5,19.6,21.2,2021-09-24 11:50:34
64.4,30.2,19.3,21.5,2021-09-24 11:50:44
68.1,29.5,19.3,20.9,2021-09-24 11:50:54
68.2,29.5,19.3,21,2021-09-24 11:51:04
68.2,29.5,19.7,21.3,2021-09-24 11:51:14
68.2,29.5,19.7,21.3,2021-09-24 11:51:24
68.1,29.5,19.6,21.2,2021-09-24 11:51:34
68.1,29.5,19.6,21.2,2021-09-24 11:51:44
68.2,29.5,19.7,21.3,2021-09-24 11:51:54
68.2,29.5,19.7,21.3,2021-09-24 11:52:04
64.5,30.3,19.3,21.5,2021-09-24 11:52:14
68.3,29.5,19.7,21.2,2021-09-24 11:52:24
68.4,29.5,19.7,21.3,2021-09-24 11:52:34
68.5,29.5,20.1,21.9,2021-09-24 11:53:14
68.4,29.5,20.1,21.6,2021-09-24 11:53:24
68.4,29.5,20.1,21.9,2021-09-24 11:53:34
68.4,29.5,20.1,21.6,2021-09-24 11:53:44
64.6,30.3,19.3,21.5,2021-09-24 11:53:54
68.4,29.5,19.7,21.3,2021-09-24 11:54:04
68.5,29.5,19.7,21.3,2021-09-24 11:54:14
68.5,29.5,19.7,21.3,2021-09-24 11:54:24
68.4,29.5,19.7,21.3,2021-09-24 11:54:34
68.3,29.5,19.7,21.3,2021-09-24 11:54:44
68.3,29.5,19.4,21,2021-09-24 11:54:54
68.3,29.5,19.4,21,2021-09-24 11:55:04
68.3,29.5,19.4,21,2021-09-24 11:55:14
68.3,29.5,19.7,21.3,2021-09-24 11:55:24
64.6,30.3,19.3,21.5,2021-09-24 11:55:34
68.5,29.5,19.7,21.3,2021-09-24 11:55:44
68.5,29.5,19.7,21.3,2021-09-24 11:55:54
68.5,29.5,20.1,21.6,2021-09-24 11:56:04
68.5,29.6,20.1,21.6,2021-09-24 11:56:14
68.5,29.6,19.8,21.3,2021-09-24 11:56:24
68.5,29.6,19.4,21,2021-09-24 11:56:34
68.5,29.6,19.4,21,2021-09-24 11:56:44
68.5,29.6,19.8,21.3,2021-09-24 11:56:54
64.7,30.4,19,21.2,2021-09-24 11:57:04
68.5,29.6,19.4,21,2021-09-24 11:57:14
68.5,29.6,19.4,21,2021-09-24 11:57:24
68.5,29.6,19.8,21.3,2021-09-24 11:57:34
68.5,29.6,19.4,21,2021-09-24 11:57:44
68.5,29.6,19.8,21.3,2021-09-24 11:57:54
68.5,29.6,19.4,21,2021-09-24 11:58:04
68.5,29.6,19.4,21,2021-09-24 11:58:14
68.6,29.6,19.4,21,2021-09-24 11:58:24
68.6,29.6,19.4,21,2021-09-24 11:58:34
64.8,30.4,19.4,21.5,2021-09-24 11:58:44
68.6,29.6,19.4,21,2021-09-24 11:58:54
68.5,29.6,19.4,21,2021-09-24 11:59:04
68.4,29.6,19.4,21,2021-09-24 11:59:14
68.3,29.7,19.4,21,2021-09-24 11:59:24
68.3,29.7,19.4,21,2021-09-24 11:59:34
68.3,29.7,19.4,21,2021-09-24 11:59:44
68.3,29.6,19.4,21,2021-09-24 11:59:54
68.4,29.7,19.4,21,2021-09-24 12:00:04
68.5,29.7,19.4,21,2021-09-24 12:00:14
64.7,30.4,19,21.2,2021-09-24 12:00:24
68.5,29.7,19.5,21,2021-09-24 12:00:34
68.5,29.7,19.1,20.7,2021-09-24 12:00:44
68.5,29.7,19.4,21,2021-09-24 12:00:54
68.5,29.7,19.1,20.7,2021-09-24 12:01:04
68.5,29.7,19.1,20.7,2021-09-24 12:01:14
68.4,29.7,19.1,20.7,2021-09-24 12:01:24
68.4,29.7,19.4,21,2021-09-24 12:01:34
68.3,29.7,19.4,21,2021-09-24 12:01:44
68.3,29.7,19.4,21,2021-09-24 12:01:54
64.6,30.4,18.7,20.9,2021-09-24 12:02:04
68.3,29.7,19.4,21,2021-09-24 12:02:14
68.4,29.8,19.1,20.7,2021-09-24 12:02:24
68.4,29.7,19.1,20.7,2021-09-24 12:02:34
68.4,29.8,19.1,20.7,2021-09-24 12:02:44
68.3,29.8,19.1,20.7,2021-09-24 12:02:54
68.2,29.8,19.1,20.7,2021-09-24 12:03:04
68.2,29.8,18.7,20.4,2021-09-24 12:03:14
68.1,29.8,19.1,20.7,2021-09-24 12:03:24
68.2,29.8,19.1,20.7,2021-09-24 12:03:34
64.5,30.5,18.7,20.9,2021-09-24 12:03:44
68.2,29.8,19.1,20.7,2021-09-24 12:03:54
68.2,29.8,18.7,20.4,2021-09-24 12:04:04
68.2,29.8,19.1,20.7,2021-09-24 12:04:14
68.2,29.8,18.7,20.4,2021-09-24 12:04:24
68.2,29.8,18.7,20.4,2021-09-24 12:04:34
68.2,29.8,18.7,20.4,2021-09-24 12:04:44
68.2,29.9,18.7,20.4,2021-09-24 12:04:54
68,29.9,18.7,20.4,2021-09-24 12:05:04
68,29.9,18.7,20.4,2021-09-24 12:05:14
64.4,30.5,18.3,20.6,2021-09-24 12:05:24
68.1,29.9,18.7,20.4,2021-09-24 12:05:34
68.2,29.9,18.7,20.4,2021-09-24 12:05:44
68.2,29.9,18.7,20.4,2021-09-24 12:05:54
68.3,29.9,19.1,20.8,2021-09-24 12:06:04
68.3,29.9,19.1,20.8,2021-09-24 12:06:14
68.3,29.9,18.8,20.4,2021-09-24 12:06:24
68.3,29.9,18.8,20.4,2021-09-24 12:06:34
68.2,29.9,19.1,20.8,2021-09-24 12:06:44
