humidity,temp,PM2_5,PM10_0,datetime
60.6,29.5,21.2,24,2021-09-24 11:07:10
63.8,29.5,21.7,24.3,2021-09-24 11:07:15
63.8,29.5,21.7,24.3,2021-09-24 11:07:20
63.8,29.5,21.7,24.3,2021-09-24 11:07:30
63.9,29.5,22.1,24.6,2021-09-24 11:07:40
64.1,29.5,22.1,24.6,2021-09-24 11:07:50
64.2,29.5,21.4,23.7,2021-09-24 11:08:00
64.3,29.5,21.4,23.7,2021-09-24 11:08:10
64.4,29.5,21.8,24.3,2021-09-24 11:08:20
62.4,30.3,21.7,24.6,2021-09-24 11:08:30
64.6,29.5,21.5,23.7,2021-09-24 11:08:40
64.6,29.5,21.5,23.7,2021-09-24 11:08:50
64.8,29.5,21.9,24,2021-09-24 11:09:00
64.8,29.5,21.9,24.3,2021-09-24 11:09:10
64.8,29.5,21.5,24.3,2021-09-24 11:09:20
64.8,29.5,21.9,24,2021-09-24 11:09:30
64.8,29.5,21.9,24.3,2021-09-24 11:09:40
64.9,29.5,21.9,24,2021-09-24 11:09:50
64.1,29.6,21.1,23.4,2021-09-24 11:12:59
65,29.7,21.3,23.5,2021-09-24 11:13:04
65,29.6,21.2,23.4,2021-09-24 11:13:09
65,29.7,21.3,23.5,2021-09-24 11:13:19
65.1,29.7,21.3,23.5,2021-09-24 11:13:29
65.1,29.7,21.6,23.8,2021-09-24 11:13:39
65.1,29.7,21.7,23.8,2021-09-24 11:13:49
65.1,29.7,21.7,23.8,2021-09-24 11:13:59
65.1,29.7,21.7,23.8,2021-09-24 11:14:09
62.8,30.4,21.5,24.3,2021-09-24 11:14:19
65.1,29.7,21.3,23.5,2021-09-24 11:14:29
65.1,29.7,21,23.2,2021-09-24 11:14:39
63.4,29.6,20.6,23.1,2021-09-24 11:37:57
65,29.6,20.9,23.1,2021-09-24 11:38:02
64.9,29.5,20.9,23.1,2021-09-24 11:38:07
65,29.5,20.9,23.1,2021-09-24 11:38:17
65.1,29.6,20.9,23.1,2021-09-24 11:38:27
65.3,29.6,20.9,23.7,2021-09-24 11:38:37
65.3,29.5,20.9,23.1,2021-09-24 11:38:47
65.4,29.5,21,23.1,2021-09-24 11:38:57
65.5,29.5,21.3,23.4,2021-09-24 11:39:07
63.1,30.3,21.1,23.6,2021-09-24 11:39:17
65.6,29.5,21.3,23.4,2021-09-24 11:39:27
65.7,29.5,21.3,23.4,2021-09-24 11:39:37
65.6,29.5,21,23.1,2021-09-24 11:39:47
65.6,29.5,21.3,24,2021-09-24 11:39:57
65.6,29.5,21.3,23.4,2021-09-24 11:40:07
65.8,29.5,21,23.1,2021-09-24 11:40:17
65.9,29.6,21.4,23.4,2021-09-24 11:40:27
65.9,29.5,21.4,23.4,2021-09-24 11:40:37
63.2,30.3,21.2,23.6,2021-09-24 11:40:47
66,29.5,21,23.1,2021-09-24 11:40:57
66.1,29.6,21.1,23.1,2021-09-24 11:41:07
66.2,29.6,21.1,23.4,2021-09-24 11:41:17
66.3,29.6,20.8,22.8,2021-09-24 11:41:27
66.4,29.6,20.8,22.8,2021-09-24 11:41:37
66.4,29.6,20.8,22.8,2021-09-24 11:41:47
66.4,29.6,21.2,23.1,2021-09-24 11:41:57
66.5,29.6,21.2,23.5,2021-09-24 11:42:07
66.5,29.6,21.2,23.1,2021-09-24 11:42:17
63.6,30.4,20.9,23.4,2021-09-24 11:42:27
66.5,29.6,21.2,23.1,2021-09-24 11:42:37
66.6,29.6,21.2,23.1,2021-09-24 11:42:47
66.6,29.6,21.5,23.5,2021-09-24 11:42:57
