datetime,PM2_5,PM10,temp,humidity,CO,NO2,SO2
2022-02-01 18:14:00,10.2,12.2,20.7,64.3,-2.47,-0.47,1.59
2022-02-01 18:15:00,10.15,12.15,20.7,64.3,-2.46,-0.47,1.6000000000000003
2022-02-01 18:16:00,10.08,12.15,21.13,63.97,-2.46,-0.47,1.46
2022-02-01 18:17:00,10.43,12.449999999999998,21.13,63.95000000000001,-2.47,-0.47,1.47
2022-02-01 18:18:00,9.95,11.949999999999998,20.7,64.3,-2.47,-0.47,1.57
2022-02-01 18:19:00,10.62,12.6,21.13,63.919999999999995,-2.47,-0.47,1.4799999999999998
2022-02-01 18:20:00,10.72,12.65,20.67,64.18,-2.47,-0.47,1.59
2022-02-01 18:21:00,10.57,12.58,21.07,63.85,-2.47,-0.47,1.4799999999999998
2022-02-01 18:22:00,10.63,12.65,21.08,63.88,-2.48,-0.47,1.4799999999999998
2022-02-01 18:23:00,10.52,12.5,20.62,64.2,-2.49,-0.47,1.58
2022-02-01 18:24:00,10.63,12.65,21.08,63.9,-2.48,-0.47,1.46
2022-02-01 18:25:00,10.35,12.300000000000002,20.6,64.22,-2.48,-0.47,1.57
2022-02-01 18:26:00,10.22,12.22,21.03,63.95000000000001,-2.49,-0.47,1.4400000000000002
2022-02-01 18:27:00,10.45,12.449999999999998,21.03,63.95000000000001,-2.49,-0.47,1.46
2022-02-01 18:28:00,10.5,12.5,20.6,64.25,-2.49,-0.47,1.58
2022-02-01 18:29:00,10.55,12.58,21.03,63.93,-2.5,-0.47,1.46
2022-02-01 18:30:00,10.28,12.25,21.03,63.97,-2.5,-0.47,1.47
2022-02-01 18:31:00,10.45,12.43,20.6,64.22,-2.51,-0.47,1.58
2022-02-01 18:32:00,10.6,12.65,21.03,63.88,-2.51,-0.47,1.46
2022-02-01 18:33:00,10.5,12.5,20.6,64.2,-2.51,-0.47,1.58
2022-02-01 18:34:00,10.45,12.449999999999998,21.03,63.88,-2.52,-0.47,1.46
2022-02-01 18:35:00,10.6,12.65,21.03,63.9,-2.52,-0.47,1.45
2022-02-01 18:36:00,10.45,12.43,20.6,64.23,-2.53,-0.47,1.57
2022-02-01 18:37:00,10.38,12.38,21.03,63.919999999999995,-2.53,-0.47,1.46
2022-02-01 18:38:00,10.07,12.0,20.58,64.3,-2.53,-0.47,1.57
2022-02-01 18:39:00,9.85,11.9,21.02,63.97,-2.54,-0.47,1.46
2022-02-01 18:40:00,9.68,11.75,20.98,63.97,-2.55,-0.47,1.47
2022-02-01 18:41:00,10.3,12.199999999999998,20.57,64.27,-2.55,-0.47,1.5599999999999998
