PM2_5,temp,humidity
44.5223,23.5,89.9
41.11739999999999,23.5,90.0
40.06145,23.5,89.8
39.15635,23.4,89.8
38.16505,23.3,89.9
39.15635,23.2,90.1
37.10909999999999,23.2,90.3
36.57035,23.2,90.3
40.75105,23.1,90.5
40.4278,23.1,90.5
40.92345,23.0,90.5
42.84139999999999,23.0,90.6
44.1775,22.9,90.8
45.7291,22.9,90.9
48.1427,22.9,90.9
48.63835,22.9,91.1
52.77595,22.8,91.4
51.50449999999999,22.7,91.7
50.29769999999999,22.6,91.9
52.60355,22.6,92.1
52.2372,22.5,92.3
51.65534999999999,22.5,92.4
55.42659999999999,22.5,92.5
55.70675,22.5,92.5
56.7627,22.5,92.5
60.2538,22.6,92.6
61.89159999999999,22.6,92.4
65.6413,22.8,92.4
65.92145,22.8,92.3
71.45979999999999,22.9,92.2
75.33879999999999,22.9,92.2
78.05409999999999,23.0,92.0
79.04539999999999,23.1,92.0
81.28659999999999,23.2,92.0
78.50665,23.3,91.9
78.46354999999998,23.5,91.9
79.79965,23.6,91.8
72.14939999999999,23.9,91.6
78.8299,24.1,91.1
68.37814999999999,24.2,90.9
64.28365,24.3,90.8
56.5903,24.3,90.7
52.86215,24.3,90.9
47.64704999999999,24.6,91.1
40.083,25.0,90.5
38.91929999999999,25.6,89.3
37.2815,26.1,87.8
28.7477,26.5,86.6
28.20895,26.9,85.7
27.21765,27.1,84.7
26.6789,27.5,84.0
28.9201,27.7,83.3
31.2475,27.8,82.4
34.99719999999999,27.8,82.4
32.7129,27.9,82.3
30.8596,28.1,80.9
31.463,28.1,80.5
37.84179999999999,28.1,80.9
35.0834,28.1,80.5
35.70835,28.0,80.4
36.4626,27.9,80.6
30.2993,27.7,80.7
32.4974,27.7,80.8
34.049,27.8,80.4
35.1265,27.7,80.8
31.44145,27.5,80.8
33.424049999999994,27.4,81.0
30.8165,27.1,81.0
30.1269,26.9,81.1
31.01045,26.5,81.4
34.6093,26.2,82.1
39.52269999999999,25.9,82.7
36.78585,25.6,83.1
38.7469,25.4,83.7
36.8074,25.3,83.9
41.8501,25.1,84.4
47.41,25.0,85.0
44.02665,24.9,85.5
40.66485,24.8,85.7
40.66485,24.7,86.1
38.4883,24.6,86.3
38.2297,24.5,86.6
40.7726,24.5,86.8
47.3669,24.4,87.1
47.7117,24.3,87.4
47.21605,24.2,87.6
49.24175,24.1,87.6
47.6686,24.0,87.9
46.6773,23.8,88.3
46.548,23.7,88.6
49.1771,23.6,88.7
55.12489999999999,23.6,88.9
56.65494999999999,23.5,89.2
56.65494999999999,23.5,89.3
55.72829999999999,23.4,89.3
54.84474999999999,23.4,89.4
55.14645,23.3,89.6
59.97364999999999,23.3,89.7
62.34414999999999,23.3,89.8
60.36155,23.3,89.8
57.5816,23.3,89.9
55.2542,23.3,89.9
53.96119999999999,23.3,89.9
51.50449999999999,23.4,89.9
50.70715,23.4,89.8
47.21605,23.3,89.7
45.2981,23.3,89.7
49.996,23.3,89.7
59.30559999999999,23.2,89.8
61.11579999999999,23.2,89.9
57.27989999999999,23.2,89.8
52.90525,23.3,89.8
48.42284999999999,23.2,89.8
46.3325,23.2,89.9
46.91434999999999,23.1,90.0
49.02625,23.1,90.0
48.7461,23.1,90.2
49.69429999999999,23.1,90.2
54.6077,23.1,90.3
58.76684999999999,23.1,90.3
61.05114999999999,23.1,90.4
67.66699999999999,23.1,90.5
63.70179999999999,23.2,90.4
64.64999999999999,23.3,90.5
69.75734999999999,23.2,90.6
69.52029999999999,23.2,90.7
73.74409999999999,23.2,91.2
76.26545,23.4,91.3
78.05409999999999,23.6,91.0
67.9687,23.8,90.4
64.15435,24.0,90.1
59.28405,24.2,89.7
58.50824999999999,24.3,89.5
56.80579999999999,24.6,89.2
53.85345,25.0,88.9
51.9786,25.3,87.8
48.85385,25.5,87.1
51.74155,25.6,86.5
47.7117,25.7,86.2
47.3669,25.6,86.4
52.00014999999999,25.4,87.2
59.06855,25.3,87.8
57.68934999999999,25.2,88.0
52.2803,25.2,88.3
51.61225,25.2,88.3
44.58695,25.3,87.9
43.81114999999999,25.5,87.3
45.83685,25.7,86.6
48.18579999999999,25.7,86.5
52.88369999999999,25.7,86.7
54.9956,25.7,86.9
51.69845,25.8,86.5
45.14724999999999,26.0,86.3
44.02665,26.3,86.1
41.74235,26.7,85.0
35.01875,27.0,83.9
34.65239999999999,27.3,82.9
37.60475,27.4,82.5
39.0055,27.4,81.8
38.76845,27.4,81.6
34.50155,27.2,81.5
34.41535,27.0,81.7
34.8679,26.9,81.8
36.3764,26.8,82.0
39.4365,26.6,82.3
42.4966,26.5,82.5
47.6686,26.4,82.7
45.40585,26.2,83.0
42.0656,26.0,83.2
48.29355,25.7,83.6
54.5646,25.7,83.8
55.9438,25.6,84.2
