HUM-PreScaled,HUM-PreScaledFlags,HUM-Unit,HUM-Slope,HUM-Offset,PM2.5-PreScaled,PM2.5-PreScaledFlags,PM2.5-Unit,PM2.5-Slope,PM2.5-Offset,TEMP-PreScaled,TEMP-PreScaledFlags,TEMP-Unit,TEMP-Slope,TEMP-Offset,NO2-PreScaled,NO2-PreScaledFlags,NO2-Unit,NO2-Slope,NO2-Offset,O3-PreScaled,O3-PreScaledFlags,O3-Unit,O3-Slope,O3-Offset,datetime,PM2_5,humidity,temp,NO2,O3
75.1,Valid,%,1,0,41.51,Valid,ug/m3,1.248,0.0,24.9,Valid,C,1,0,,Optimising,,,,,Optimising,,,,2021-02-22 17:30:00,51.80448,75.1,24.9,,
75.4,Valid,%,1,0,43.67,Valid,ug/m3,1.248,0.0,24.8,Valid,C,1,0,,Optimising,,,,,Optimising,,,,2021-02-22 17:45:00,54.50016,75.4,24.8,,
75.5,Valid,%,1,0,40.29,Valid,ug/m3,1.248,0.0,24.5,Valid,C,1,0,,Optimising,,,,,Optimising,,,,2021-02-22 18:00:00,50.28192,75.5,24.5,,
75.6,Valid,%,1,0,34.39,Valid,ug/m3,1.248,0.0,24.3,Valid,C,1,0,,Optimising,,,,,Optimising,,,,2021-02-22 18:15:00,42.91872,75.6,24.3,,
75.7,Valid,%,1,0,35.05,Valid,ug/m3,1.248,0.0,24.1,Valid,C,1,0,-18.4,Less Than Concentration Limit,ug/m3,1.1740000000000002,0.0,159.0,Valid,ug/m3,1.163,15.744000000000002,2021-02-22 18:30:00,43.742399999999996,75.7,24.1,-21.6016,200.661
76.1,Valid,%,1,0,36.67,Valid,ug/m3,1.248,0.0,24.0,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 18:45:00,45.764160000000004,76.1,24.0,,
76.4,Valid,%,1,0,34.86,Valid,ug/m3,1.248,0.0,23.9,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 19:00:00,43.50528,76.4,23.9,,
76.6,Valid,%,1,0,31.68,Valid,ug/m3,1.248,0.0,23.8,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 19:15:00,39.53664,76.6,23.8,,
77.0,Valid,%,1,0,30.33,Valid,ug/m3,1.248,0.0,23.6,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 19:30:00,37.851839999999996,77.0,23.6,,
77.3,Valid,%,1,0,29.73,Valid,ug/m3,1.248,0.0,23.5,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 19:45:00,37.10304,77.3,23.5,,
77.5,Valid,%,1,0,30.42,Valid,ug/m3,1.248,0.0,23.4,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 20:00:00,37.96416,77.5,23.4,,
77.8,Valid,%,1,0,30.82,Valid,ug/m3,1.248,0.0,23.3,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 20:15:00,38.46336,77.8,23.3,,
78.1,Valid,%,1,0,28.92,Valid,ug/m3,1.248,0.0,23.3,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 20:30:00,36.09216,78.1,23.3,,
78.3,Valid,%,1,0,29.12,Valid,ug/m3,1.248,0.0,23.2,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 20:45:00,36.34176,78.3,23.2,,
